Model, Environment, Average Speed
llama2, google_colab_a100_gpu, 3.7970876812934877
llama3, google_colab_a100_gpu, 3.338015246391296
llama3-70b, google_colab_a100_gpu, 11.166179931163787
gemma2, google_colab_a100_gpu, 2.7210177898406984
gemma, google_colab_a100_gpu, 2.737143409252167
mistral, google_colab_a100_gpu, 3.371902680397034
vicuna, google_colab_a100_gpu, 3.9642457008361816
llama2, google_colab_t4_gpu, 6.456011247634888
llama3, google_colab_t4_gpu, 4.957068395614624
gemma2, google_colab_t4_gpu, 4.574613261222839
gemma, google_colab_t4_gpu, 4.3793909907341
mistral, google_colab_t4_gpu, 5.689243972301483
vicuna, google_colab_t4_gpu, 8.728600728511811
llama2, google_colab_l4_gpu, 6.310176980495453
llama3, google_colab_l4_gpu, 5.30514098405838
llama3-70b, google_colab_l4_gpu, 115.5477011680603
gemma2, google_colab_l4_gpu, 3.6597590684890746
gemma, google_colab_l4_gpu, 3.903764235973358
mistral, google_colab_l4_gpu, 5.245452082157135
vicuna, google_colab_l4_gpu, 6.812871313095092
llama2, google_colab_t4_gpu, 6.456011247634888
llama3, google_colab_t4_gpu, 4.957068395614624
gemma2, google_colab_t4_gpu, 4.574613261222839
gemma, google_colab_t4_gpu, 4.3793909907341
mistral, google_colab_t4_gpu, 5.689243972301483
vicuna, google_colab_t4_gpu, 8.728600728511811
llama3, google_colab_cpu, 474.23675137758255
llama2, local, 80.68672945499421
llama3, local, 80.04840385913849
gemma2, local, 70.17777333259582
gemma, local, 57.05877629518509
mistral, local, 77.65495525598526
vicuna, local, 78.29881390333176
llama2, server, 2.8915365815162657
llama3, server, 3.397073543071747
llama3-70b, server, 31.110325798392296
gemma, server, 1.6111843585968018
mistral, server, 2.6746158599853516
vicuna, server, 3.5570992469787597
llama2, mac-m1, 9.261987084150315
llama3, mac-m1, 7.465228413280688
gemma2, mac-m1, 6.014470386505127
gemma, mac-m1, 5.518950772285462
mistral, mac-m1, 7.874426400661468
vicuna, mac-m1, 9.508878660202026
