,with_overlap,500 Characters,1000 Characters,1500 Characters
0,Overlap,,,0.5648344574635702
1,Overlap,,,
2,Overlap,0.4269975615096564,0.4358312823316573,
3,Overlap,,0.3929321337338444,
4,Overlap,0.5661283353719686,,0.5573739186328865
5,Overlap,,,
6,Overlap,,0.5182125598091185,0.4536349727578493
7,Overlap,,0.4164852909028305,0.5283840715141712
8,Overlap,,,0.327873594040047
9,Overlap,,,
10,Overlap,,0.3139807198838801,0.3182430609353943
11,Overlap,0.5267007618896999,,
12,Overlap,,,0.3512255745551643
13,Overlap,0.6009063681602473,,0.5997351619337277
14,Overlap,,,0.4840411037549225
15,Overlap,0.3876257120265039,,0.4441605480149822
16,Overlap,0.2741927122163595,,0.2489447759512843
17,Overlap,,,
18,Overlap,,,
19,Overlap,0.7889096117361504,0.5683934716065772,
20,Overlap,,,0.4634533133060362
21,Overlap,,0.3098981238751896,0.6329911432320923
22,Overlap,0.4784100940403005,0.4270111032132984,0.3741926745088728
23,Overlap,0.3655736949018267,,
24,Overlap,0.5046989782353524,0.5153118876937087,
25,Overlap,,,0.8118439428774147
26,Overlap,0.4708737399885734,,0.4348960770963367
27,Overlap,,,0.4505513854773001
28,Overlap,,,0.5225563737396964
29,Overlap,0.4386173431448478,,0.4117470430014741
30,Overlap,,,
31,Overlap,,,
32,Overlap,0.5642102533057625,,0.6737051048010926
33,Overlap,0.7662886184390876,0.4691342038907495,0.5219014057547289
34,Overlap,,,
35,Overlap,0.1294871563344314,0.1467044908469696,
36,Overlap,,0.4208042572592307,0.4750607377091188
37,Overlap,0.46022377314617,,0.4937864379818812
38,Overlap,0.3247862724081685,,
39,Overlap,0.4997663518487144,0.3920623906822252,
40,Overlap,,0.3771185875752524,
41,Overlap,0.5490577032456363,0.9251200880668896,
42,Overlap,,,
43,Overlap,,,
44,Overlap,,,0.4804596387675692
45,Overlap,0.6487995858337413,0.1976856957317393,0.6301965900011053
46,Overlap,,,
47,Overlap,0.4454015060965643,,
48,Overlap,0.1904679967849105,,
49,Overlap,,0.5309754865065928,0.4176056970115228
50,Overlap,,,0.553638752700061
51,Overlap,,0.409267935915209,
52,Overlap,0.6824219338122345,,
53,Overlap,,,0.5313382587702822
54,Overlap,0.4824223401293808,0.7403050201020831,0.5306530598019655
55,Overlap,0.7375375650609741,0.7245956033285492,
56,Overlap,,0.332663871884314,
57,Overlap,,0.6547933653711915,0.4104626343276215
58,Overlap,0.4655084716523724,,
59,Overlap,,,0.5214313593686427
60,Overlap,0.4288737772387733,,
61,Overlap,0.741951575974648,,0.7223416524277989
62,Overlap,0.5623246417734882,,
63,Overlap,,,0.5110993660195575
64,Overlap,,,
65,Overlap,0.4282693998849204,,0.4275403410438127
66,Overlap,0.7310755694559897,,0.5219823542972366
67,Overlap,,0.7310914258524049,0.6532980700758475
68,Overlap,0.5367900140086231,,
69,Overlap,0.5821305944891897,0.7144244088792907,0.7955476112845492
70,Overlap,,0.2323112823820758,
71,Overlap,0.509862779336323,,0.6453386572462866
72,Overlap,,,
