,with_overlap,500 characters,1000 characters,1500 characters
0,Overlap,0.747462815,0.722139537,0.874945872
1,Overlap,0.491624718,0.458724396,1
2,Overlap,0.551144563,0.756636655,
3,Overlap,0.913683335,0.531961728,0.963941812
4,Overlap,0.893255572,0.879276255,0.983423974
5,Overlap,0.799926166,0.928265318,0.778381654
6,Overlap,0.556782782,0.419116826,
7,Overlap,0.514491684,0.621846816,0.691361368
8,Overlap,0.568319687,0.519861816,0.511867486
9,Overlap,,0.675848364,0.461191434
10,Overlap,0.99711175,0.99711175,
11,Overlap,0.591283766,0.531575196,0.648916648
12,Overlap,0.4669787,0.351891622,0.574819939
13,Overlap,0.636957885,0.557798336,
14,Overlap,0.627381698,0.826444793,0.968995556
15,Overlap,0.734876127,0.991563366,
16,Overlap,0.669986872,0.666263646,0.429575536
17,Overlap,0.884877228,0.429973343,
18,Overlap,0.621639643,,
19,Overlap,0.957921492,1,1
20,Overlap,0.687917338,0.583574393,
21,Overlap,0.965128738,,0.996285386
22,Overlap,0.548289677,,
23,Overlap,0.881859988,0.984387783,
24,Overlap,0.688575938,0.494737557,
25,Overlap,0.943784634,0.828427797,
26,Overlap,0.699934139,0.69593719,
27,Overlap,0.562391445,0.549917666,
28,Overlap,0.942755433,0.969877859,
29,Overlap,0.819167462,0.784771327,
30,Overlap,0.135937429,0.927945692,0.837637517
31,Overlap,0.743318762,0.597245996,
32,Overlap,0.863754613,0.773851385,
33,Overlap,0.979368818,0.978533535,0.964137798
34,Overlap,0.866346515,,
35,Overlap,,,0.729795888
36,Overlap,0.733228568,0.693763684,0.75427182
37,Overlap,0.518753289,0.443528944,0.478997764
38,Overlap,0.454693339,0.552446733,0.538194834
39,Overlap,0.722664856,,
40,Overlap,,0.461129793,0.431387345
41,Overlap,0.613939889,0.46787663,0.484244855
42,Overlap,,,
43,Overlap,0.469352985,,
44,Overlap,0.422733561,0.52533192,
45,Overlap,0.452258347,0.519618558,
46,Overlap,,0.676353682,
47,Overlap,0.452479781,0.447935714,
48,Overlap,,,
