,with_overlap,500 characters,1000 characters,1500 characters
0,Overlap,0.703197491,0.703197491,0.926004497
1,Overlap,0.440157435,0.407096101,0.410132072
2,Overlap,0.707990246,0.743325129,0.687891091
3,Overlap,0.886256376,0.821728535,0.752532293
4,Overlap,0.764513341,0.748249341,0.729495675
5,Overlap,0.855657588,0.861923377,0.843628943
6,Overlap,0.650687175,0.572850239,0.614539891
7,Overlap,0.733604302,0.808798306,0.780202953
8,Overlap,0.760390762,0.777391077,0.766039831
9,Overlap,0.612760398,0.542236711,0.563374129
10,Overlap,0.691656561,0.65592288,0.606305577
11,Overlap,0.906803048,0.782622449,0.94049164
12,Overlap,0.817155803,0.791021785,0.804902298
13,Overlap,0.903625473,0.600919489,0.898940648
14,Overlap,0.898280485,0.936029222,0.936164415
15,Overlap,0.693359991,0.934285049,0.919499335
16,Overlap,0.430104182,0.429002527,0.329112437
17,Overlap,0.418679194,0.313460227,0.402353947
18,Overlap,0.485720955,0.637954683,0.588226629
19,Overlap,0.755638447,0.773573886,0.758366609
20,Overlap,0.780301061,0.714334517,0.853813253
21,Overlap,0.794569217,0.639592496,0.817678859
22,Overlap,0.413640376,0.508044413,0.296770698
23,Overlap,0.86229478,0.708310209,0.853782183
24,Overlap,0.818795913,0.861247551,0.895303806
25,Overlap,0.870610094,0.890345231,0.847375772
26,Overlap,0.68349496,0.851130007,0.882441451
27,Overlap,0.866653244,0.889700595,0.802205542
28,Overlap,0.827754847,0.906366324,0.890225495
29,Overlap,0.897326515,0.897740119,0.896988172
30,Overlap,0.782801867,0.847428042,0.848106437
31,Overlap,0.834913709,0.846198239,0.868651739
32,Overlap,0.756841013,0.737325666,0.694820419
33,Overlap,0.883336292,0.876536816,0.887605623
34,Overlap,0.907540187,0.898248122,0.855966626
35,Overlap,0.517948625,0.586817963,0.628016048
36,Overlap,0.642947493,0.683217029,0.700242951
37,Overlap,0.640895093,0.680433105,0.775145752
38,Overlap,0.79914509,0.78814505,0.788584048
39,Overlap,0.799065407,0.568249563,0.61751107
40,Overlap,0.826661029,0.651331493,0.480034474
41,Overlap,0.696230813,0.700480352,0.698834445
42,Overlap,0.7728376,0.669052256,0.60555222
43,Overlap,0.715631521,0.646372767,0.549767173
44,Overlap,0.673457291,0.588799659,0.721838555
45,Overlap,0.595198343,0.790742783,0.52078636
46,Overlap,0.831672092,0.687160666,0.806771209
47,Overlap,0.690696933,0.624206096,0.638973623
48,Overlap,0.761871987,0.62363601,0.854602378
49,Overlap,0.938582618,0.923901946,0.920422788
50,Overlap,0.860944048,0.728458537,0.714555011
51,Overlap,0.75674782,0.887071744,0.714183403
52,Overlap,0.729687735,0.703258497,0.631860124
53,Overlap,0.897321301,0.941669466,0.925353035
54,Overlap,0.929689361,0.96122008,0.922612239
55,Overlap,0.95015026,0.898382413,0.933619311
56,Overlap,0.745964072,0.785200942,0.750710447
57,Overlap,0.886482552,0.904887747,0.891850537
58,Overlap,0.862033887,0.763834582,0.91750358
59,Overlap,0.907416588,0.843752634,0.885725437
60,Overlap,0.515495109,0.606449861,0.502741716
61,Overlap,0.967806304,0.751457314,0.88936661
62,Overlap,0.749298567,0.738205559,0.649808481
63,Overlap,0.772030425,0.731811097,0.711064131
64,Overlap,0.44482381,0.502198885,0.480426921
65,Overlap,0.855934742,0.933419907,0.853018507
66,Overlap,0.924302278,0.873946616,0.887929417
67,Overlap,0.90353284,0.924365703,0.898906566
68,Overlap,0.813826723,0.891426927,0.849109405
69,Overlap,0.828522378,0.857697636,0.782190445
70,Overlap,0.895908494,0.92924513,0.838581858
71,Overlap,0.839451117,0.81778585,0.867068915
72,Overlap,0.831199136,0.803113599,0.881270395
73,Overlap,0.851158063,0.845944458,0.837097646
74,Overlap,0.932519277,0.88608995,0.904082037
75,Overlap,0.887531262,0.842523069,0.636919224
76,Overlap,0.798406996,0.781487625,0.707348323
77,Overlap,0.647618178,0.643510353,0.647220021
78,Overlap,0.871832119,0.782434543,0.75660269
79,Overlap,0.846804373,0.812453694,0.828137406
80,Overlap,0.863106134,0.828158425,0.766308932
81,Overlap,0.784243872,0.859608196,0.8803511
82,Overlap,0.633222637,0.561119998,0.373945441
83,Overlap,0.880167034,0.750133364,0.854990122
84,Overlap,0.78788036,0.783343334,0.746898899
85,Overlap,0.573711209,0.64077009,0.833523954
86,Overlap,0.779075677,0.837555511,0.833115887
87,Overlap,0.776010553,0.754797625,0.842713662
88,Overlap,0.880646103,0.557712516,0.619741154
89,Overlap,0.916368508,0.863629026,0.89369775
90,Overlap,0.305825702,0.495231044,0.396842427
91,Overlap,0.80415273,0.801779073,0.813128999
92,Overlap,0.746229167,0.761529249,0.726370399
93,Overlap,0.940081613,0.950877756,0.967226473
94,Overlap,0.210876532,0.391633507,0.28579498
95,Overlap,0.788259554,0.712569492,0.799629276
96,Overlap,0.753242475,0.767254629,0.805728728
97,Overlap,0.935864663,0.894025751,0.840987686
98,Overlap,0.88207689,0.875381513,0.893391682
99,Overlap,0.890815306,0.940156062,0.925262529
100,Overlap,0.862322055,0.841365471,0.828048163
101,Overlap,0.733396842,0.63274903,0.66050586
102,Overlap,0.677350422,0.889641553,0.909438241
103,Overlap,0.729134323,0.86834552,0.781032131
104,Overlap,0.836768822,0.855644749,0.867355061
105,Overlap,0.782113642,0.746605924,0.714884596
106,Overlap,0.740508565,0.925809414,0.884932421
107,Overlap,0.837347491,0.880981395,0.835601643
108,Overlap,0.673211431,0.604525481,0.670572877
109,Overlap,0.697445234,0.716932584,0.656532506
110,Overlap,0.824521755,0.804641279,0.857631004
111,Overlap,0.819220324,0.852149828,0.866457181
112,Overlap,0.943301638,0.827987041,0.897905134
113,Overlap,-0.041975035,-0.066172148,-0.063608774
114,Overlap,0.822884161,0.822603588,0.942965337
115,Overlap,0.886676106,0.913330522,0.901411806
116,Overlap,0.886250648,0.862306335,0.890467898
117,Overlap,0.86628498,0.906346228,0.878582162
118,Overlap,0.716165046,0.855349016,0.878992864
119,Overlap,0.914412203,0.955630904,0.942735135
120,Overlap,0.922392085,0.911967566,0.916085612
121,Overlap,0.76591203,0.841889418,0.874653167
122,Overlap,0.859468196,0.871508229,0.879409061
123,Overlap,0.359099646,0.322462236,0.31080089
124,Overlap,0.890246858,0.864759397,0.907333568
125,Overlap,0.866854469,0.852761183,0.883887021
126,Overlap,0.762251958,0.77107981,0.822109712
127,Overlap,0.85277544,0.87241464,0.8736011
128,Overlap,0.834679873,0.853290134,0.813843939
129,Overlap,0.848950916,0.864117381,0.855963491
130,Overlap,0.781606981,0.828257799,0.846747564
131,Overlap,0.664862223,0.551323306,0.766440465
132,Overlap,0.776373231,0.797144248,0.869232293
133,Overlap,0.74699311,0.874862132,0.878118833
134,Overlap,0.865825848,0.84764727,0.87148308
135,Overlap,0.773602572,0.886895468,0.877125559
136,Overlap,0.825620349,0.448221373,0.763353321
137,Overlap,0.759008405,0.54545935,0.447642651
138,Overlap,0.458484353,0.667485825,0.840602263
139,Overlap,0.062218154,0.077741683,0.049306256
140,Overlap,0.700828136,0.712154338,0.715303135
141,Overlap,0.262914675,0.33528915,0.209638212
142,Overlap,0.118834949,0.108143188,0.061461162
143,Overlap,0.938269056,0.900359677,0.627706823
144,Overlap,0.762916051,0.772543795,0.806090159
145,Overlap,0.780687692,0.799043388,0.775011617
146,Overlap,0.968668128,0.967560511,0.967600514
147,Overlap,0.923451579,0.941353068,0.959381836
148,Overlap,0.866095306,0.892766067,0.909232191
149,Overlap,0.870784143,0.858395461,0.869514048
150,Overlap,0.821028545,0.857568806,0.833415261
151,Overlap,0.895558463,0.859441573,0.845030364
152,Overlap,0.536224243,0.524458821,0.54078992
153,Overlap,0.929689444,0.918090908,0.925642657
154,Overlap,0.946032049,0.93060022,0.937182518
155,Overlap,0.85849273,0.855785625,0.844313517
156,Overlap,0.765317609,0.866218652,0.879216243
157,Overlap,0.842573541,0.879945868,0.886504356
158,Overlap,0.831513751,0.914665147,0.82454304
159,Overlap,0.717199071,0.719922851,0.749819093
160,Overlap,0.898652381,0.923818296,0.856940907
161,Overlap,0.772213956,0.795654964,0.709975161
162,Overlap,0.77114308,0.863966745,0.838202527
163,Overlap,0.9458375,0.941366596,0.954942248
164,Overlap,0.918607998,0.913539289,0.884131716
165,Overlap,0.512184795,0.732965813,0.743854037
166,Overlap,0.820123175,0.978584696,0.521317
167,Overlap,0.842202049,0.798215702,0.835544034
168,Overlap,0.791658179,0.740122805,0.797042596
169,Overlap,0.678111314,0.74812874,0.902664563
170,Overlap,0.86915398,0.853341762,0.783863096
171,Overlap,0.908550366,0.789964853,0.776907108
172,Overlap,0.964829419,0.946474815,0.895463184
173,Overlap,0.856774538,0.849874437,0.736879014
174,Overlap,0.819337594,0.94977084,0.942352445
175,Overlap,0.571206298,0.594866309,0.62560697
176,Overlap,0.875456783,0.778942105,0.921983427
177,Overlap,0.865991495,0.848451668,0.845214807
178,Overlap,0.882478563,0.855639285,0.901958017
179,Overlap,0.789251921,0.739383426,0.733996366
180,Overlap,0.70485234,0.773235731,0.806527959
181,Overlap,0.962544141,0.668033096,0.947231874
182,Overlap,0.898943685,0.947108401,0.622490474
183,Overlap,0.692856668,0.883897777,0.791149432
184,Overlap,0.908144159,0.930551871,0.822691045
185,Overlap,0.931810803,0.906901558,0.894938606
186,Overlap,0.898447292,0.904957538,0.795334126
187,Overlap,0.963929054,0.963929054,0.960988175
188,Overlap,0.855436017,0.848409271,0.849562387
189,Overlap,0.821996457,0.764095441,0.81632105
190,Overlap,0.832835572,0.89574231,0.90780149
191,Overlap,0.790481517,0.87098592,0.777824625
192,Overlap,0.882547073,0.881362325,0.8429989
193,Overlap,0.88668557,0.919282156,0.738060835
194,Overlap,0.612436179,0.563357791,0.604908044
195,Overlap,0.852929253,0.89276138,0.855129741
196,Overlap,0.709603119,0.441825238,0.671335846
197,Overlap,0.908501254,0.915173544,0.894357186
198,Overlap,0.702605351,0.707499719,0.685729881
