,with_overlap,500 characters,1000 characters,1500 characters
0,Overlap,0.333333332,0.333333332,
1,Overlap,,,
2,Overlap,,,
3,Overlap,,,
4,Overlap,0.181818182,,0.181818182
5,Overlap,0.2,,
6,Overlap,0.399999999,0.399999999,
7,Overlap,,,
8,Overlap,0.499999999,0.333333333,0.166666666
9,Overlap,0.5,,
10,Overlap,,,
11,Overlap,0.2,0.399999999,0.399999999
12,Overlap,0.2,,
13,Overlap,0.2,,
14,Overlap,0.2,0.399999999,0.399999999
15,Overlap,,,
16,Overlap,,,
17,Overlap,,,
18,Overlap,,,
19,Overlap,0.499999999,0.333333333,0.499999999
20,Overlap,,,
21,Overlap,,,0.11111112
22,Overlap,,,
23,Overlap,0.999999998,,
24,Overlap,0.125,0.125,
25,Overlap,,0.142857143,
26,Overlap,0.999982645,0.999982645,
27,Overlap,0.999982645,,
28,Overlap,0.714285714,0.714285714,
29,Overlap,0.285714285,0.285714285,0.142857143
30,Overlap,0.714285714,0.714285714,0.142857143
31,Overlap,0.2,0.399999999,
32,Overlap,0.999982645,0.999982645,
33,Overlap,0.999999999,,
34,Overlap,,,
35,Overlap,,,
36,Overlap,,0.2,
37,Overlap,,,
38,Overlap,0.999999999,0.999999999,0.999999999
39,Overlap,0.499999998,,
40,Overlap,,,0.499999998
41,Overlap,,0.249999999,
42,Overlap,0.499999998,,
43,Overlap,0.166666666,0.166666666,
44,Overlap,0.333333332,0.333333332,
45,Overlap,0.399999999,0.399999999,
46,Overlap,0.142857143,,
47,Overlap,0.285714285,0.285714285,
48,Overlap,0.2,0.399999999,
49,Overlap,,,
50,Overlap,,,
51,Overlap,,,
52,Overlap,,,
53,Overlap,,,
54,Overlap,0.499999999,,
55,Overlap,0.777777777,,0.11111112
56,Overlap,0.333333333,0.499999999,
57,Overlap,,0.499999999,
58,Overlap,,0.166666666,
59,Overlap,,0.2,
60,Overlap,0.747474466,0.373737233,
61,Overlap,0.333333332,0.333333332,
62,Overlap,0.625,0.625,0.625
63,Overlap,0.399999999,0.399999999,0.399999999
64,Overlap,,,
65,Overlap,0.444444444,0.222222222,0.222222222
66,Overlap,0.999999997,0.999999997,0.999999997
67,Overlap,,,
68,Overlap,0.11111112,0.666666666,0.555555555
69,Overlap,0.499999998,,0.499999998
70,Overlap,0.499999998,0.499999998,0.499999998
71,Overlap,0.125,0.125,0.125
72,Overlap,0.125,0.125,0.125
73,Overlap,0.428571428,0.285714285,0.285714285
74,Overlap,0.666666666,0.499999999,0.499999999
75,Overlap,,0.499999998,0.499999998
76,Overlap,,,
77,Overlap,0.714285714,,
78,Overlap,0.249999999,,
79,Overlap,0.11111112,0.11111112,0.11111112
80,Overlap,0.249999999,0.249999999,
81,Overlap,0.999982645,0.999982645,0.181818182
82,Overlap,,,
83,Overlap,,0.333333334,
84,Overlap,0.249999999,0.249999999,0.249999999
85,Overlap,0.399999999,,0.399999999
86,Overlap,0.2,,
87,Overlap,0.499999999,,
88,Overlap,,,
89,Overlap,,,
90,Overlap,,,
91,Overlap,0.2,,0.2
92,Overlap,0.428571428,0.285714285,0.571428576
93,Overlap,0.799999998,0.599999999,0.799999998
94,Overlap,,,
95,Overlap,,,
96,Overlap,,,
97,Overlap,,,
98,Overlap,,0.142857143,
99,Overlap,0.11111112,0.333333333,
100,Overlap,0.11111112,,
101,Overlap,,,
102,Overlap,0.399999999,,
103,Overlap,,,
104,Overlap,,0.166666666,0.333333333
105,Overlap,,,
106,Overlap,,,
107,Overlap,0.142857143,,0.142857143
108,Overlap,0.2,0.2,0.399999999
109,Overlap,,,
110,Overlap,,0.499999999,0.499999999
111,Overlap,0.11111112,0.222222222,
112,Overlap,,,
113,Overlap,,,
114,Overlap,0.181818182,0.181818182,0.272727272
115,Overlap,,,
116,Overlap,0.833333333,,
117,Overlap,,,
118,Overlap,,0.999999999,
119,Overlap,0.999999999,,0.999999999
120,Overlap,,,
121,Overlap,,,
122,Overlap,,,
123,Overlap,0.666666664,,
124,Overlap,0.333333332,,
125,Overlap,0.2,,
126,Overlap,0.3125,,0.3125
127,Overlap,,,
128,Overlap,,,
129,Overlap,0.142857143,,
130,Overlap,,,
131,Overlap,,,0.166666666
132,Overlap,0.176475881,,0.294117647
133,Overlap,,,
134,Overlap,0.117647588,,
135,Overlap,,0.999999999,0.999999999
136,Overlap,0.499999998,0.499999998,
137,Overlap,0.999999999,0.999999999,
138,Overlap,,,
139,Overlap,,,
140,Overlap,,,
141,Overlap,,,
142,Overlap,,,
143,Overlap,,,
144,Overlap,,,
145,Overlap,,,
146,Overlap,0.166666666,0.166666666,0.166666666
147,Overlap,,,0.999982645
148,Overlap,0.375,0.375,
149,Overlap,,,
150,Overlap,0.166666666,0.166666666,0.166666666
151,Overlap,0.166666666,0.166666666,
152,Overlap,,,
153,Overlap,,,
154,Overlap,0.142857143,0.142857143,
155,Overlap,,,
156,Overlap,0.222222222,0.444444444,0.444444444
157,Overlap,,,
158,Overlap,,0.571428576,0.142857143
159,Overlap,0.142857143,0.142857143,0.142857143
160,Overlap,,,
161,Overlap,,,
162,Overlap,,,
163,Overlap,0.249999999,0.749999998,0.499999999
164,Overlap,,,
165,Overlap,0.499999999,0.499999999,0.499999999
166,Overlap,0.999999998,0.999999998,0.499999999
167,Overlap,0.181818182,,
168,Overlap,,,
169,Overlap,,,
170,Overlap,,0.499999998,
171,Overlap,,,
172,Overlap,0.249999999,0.249999999,0.249999999
173,Overlap,0.666666664,0.333333332,
174,Overlap,0.333333332,0.333333332,0.333333332
175,Overlap,,,
176,Overlap,,,0.142857143
177,Overlap,0.499999998,,0.499999998
178,Overlap,0.999982645,0.999982645,
179,Overlap,,,
180,Overlap,,,
181,Overlap,,0.714285713,0.142857143
182,Overlap,,,
183,Overlap,,,
184,Overlap,,,
185,Overlap,,,
186,Overlap,,,
187,Overlap,0.99999999,0.99999999,
188,Overlap,0.2,0.2,0.2
189,Overlap,,,
190,Overlap,,,
191,Overlap,,0.399999999,0.399999999
192,Overlap,0.999982645,,
193,Overlap,,,
194,Overlap,0.125,0.125,0.125
195,Overlap,,,
196,Overlap,,0.499999998,
197,Overlap,,,
198,Overlap,,,
199,Overlap,0.333333333,0.333333333,
200,Overlap,0.499999999,0.999999998,0.749999998
201,Overlap,0.999999997,0.999999997,
202,Overlap,,0.125,
203,Overlap,,,
204,Overlap,,,
205,Overlap,,,
206,Overlap,,0.142857143,
207,Overlap,,,
208,Overlap,0.499999998,,
209,Overlap,,,
210,Overlap,,,
211,Overlap,,,
212,Overlap,0.499999999,,0.249999999
213,Overlap,0.444444444,,
214,Overlap,0.416666666,0.833333333,
215,Overlap,0.125,0.125,
216,Overlap,,,
217,Overlap,,,
218,Overlap,0.999999999,0.2,0.499999999
219,Overlap,,,
220,Overlap,0.999982645,,
221,Overlap,,,
222,Overlap,0.999999999,,0.699999999
223,Overlap,,,
224,Overlap,0.153846154,,0.153846154
225,Overlap,,,
226,Overlap,0.142857143,0.714285713,0.714285713
227,Overlap,,,
228,Overlap,,,
229,Overlap,,,
230,Overlap,,,
231,Overlap,,,
232,No Overlap,0.333333332,0.333333332,
233,No Overlap,,,
234,No Overlap,0.166666666,,
235,No Overlap,,,
236,No Overlap,0.833333333,0.166666667,0.833333333
237,No Overlap,0.833333333,0.166666667,
238,No Overlap,0.2,0.599999999,0.2
239,No Overlap,,,
240,No Overlap,0.166666666,0.166666666,
241,No Overlap,0.5,,0.5
242,No Overlap,,,
243,No Overlap,0.2,0.399999999,0.2
244,No Overlap,,,
245,No Overlap,,,
246,No Overlap,,,0.399999999
247,No Overlap,,,0.222222222
248,No Overlap,,,
249,No Overlap,,,
250,No Overlap,,,
251,No Overlap,0.333333333,,
252,No Overlap,0.3,0.999999999,0.999999999
253,No Overlap,,,0.11111112
254,No Overlap,,,
255,No Overlap,,,
256,No Overlap,,,0.499999999
257,No Overlap,,,
258,No Overlap,,,
259,No Overlap,0.999982645,0.999982645,0.999982645
260,No Overlap,0.714285714,0.714285714,
261,No Overlap,0.142857143,0.285714285,0.142857143
262,No Overlap,0.714285714,,0.142857143
263,No Overlap,0.399999999,0.399999999,0.2
264,No Overlap,0.999999999,0.999999999,
265,No Overlap,,,
266,No Overlap,,,
267,No Overlap,,,
268,No Overlap,,,0.2
269,No Overlap,,,
270,No Overlap,0.999999999,0.999999999,
271,No Overlap,0.499999998,0.499999998,
272,No Overlap,0.499999998,0.499999998,
273,No Overlap,,,
274,No Overlap,0.499999998,0.499999998,0.499999998
275,No Overlap,0.166666666,0.166666666,0.166666666
276,No Overlap,0.333333332,0.333333332,
277,No Overlap,0.599999999,0.2,0.599999999
278,No Overlap,0.285714285,0.142857143,
279,No Overlap,0.285714285,0.285714285,0.571428576
280,No Overlap,0.2,0.2,0.2
281,No Overlap,,0.2,
282,No Overlap,,,
283,No Overlap,0.714285714,,
284,No Overlap,,,
285,No Overlap,,0.2,
286,No Overlap,0.999999999,0.999999999,0.999999999
287,No Overlap,,,
288,No Overlap,0.333333333,0.333333333,
289,No Overlap,0.499999999,0.333333333,
290,No Overlap,0.166666666,,
291,No Overlap,,,
292,No Overlap,0.373737233,,
293,No Overlap,0.333333332,,
294,No Overlap,0.5,0.625,0.625
295,No Overlap,0.399999999,0.399999999,0.399999999
296,No Overlap,,,
297,No Overlap,0.444444444,0.444444444,0.222222222
298,No Overlap,0.666666664,0.999999997,0.999999997
299,No Overlap,,0.249999999,
300,No Overlap,0.333333333,0.666666666,0.333333333
301,No Overlap,0.499999998,0.499999998,0.499999998
302,No Overlap,0.499999998,0.499999998,
303,No Overlap,0.125,,0.125
304,No Overlap,,0.125,0.125
305,No Overlap,0.428571428,0.285714285,0.142857143
306,No Overlap,0.333333333,0.499999999,0.333333333
307,No Overlap,0.499999998,,
308,No Overlap,,,
309,No Overlap,0.142857143,,
310,No Overlap,0.249999999,,
311,No Overlap,0.11111112,0.11111112,0.11111112
312,No Overlap,0.249999999,0.249999999,0.499999999
313,No Overlap,0.181818182,,
314,No Overlap,0.833333333,0.833333333,
315,No Overlap,,0.833333333,0.166666667
316,No Overlap,0.249999999,,0.249999999
317,No Overlap,,0.599999999,
318,No Overlap,0.399999999,,0.2
319,No Overlap,0.499999999,0.499999999,0.499999999
320,No Overlap,0.2,,
321,No Overlap,,,
322,No Overlap,,,
323,No Overlap,0.2,,0.399999999
324,No Overlap,0.142857143,0.428571428,0.285714285
325,No Overlap,0.399999999,0.599999999,
326,No Overlap,,,
327,No Overlap,,,
328,No Overlap,,,
329,No Overlap,,,
330,No Overlap,,,0.142857143
331,No Overlap,0.11111112,0.222222222,0.222222222
332,No Overlap,0.11111112,0.11111112,0.11111112
333,No Overlap,0.166666666,,
334,No Overlap,0.2,,
335,No Overlap,,,
336,No Overlap,,0.166666666,0.333333333
337,No Overlap,,,
338,No Overlap,,,
339,No Overlap,0.142857143,0.142857143,0.142857143
340,No Overlap,0.2,0.799999998,0.399999999
341,No Overlap,,,
342,No Overlap,0.749999998,0.749999998,
343,No Overlap,,,0.222222222
344,No Overlap,,,
345,No Overlap,,,
346,No Overlap,0.999982645,0.272727272,0.363636363
347,No Overlap,,,
348,No Overlap,0.166666667,,
349,No Overlap,,,0.11111112
350,No Overlap,0.999999999,,
351,No Overlap,0.999999999,,0.999999999
352,No Overlap,,,
353,No Overlap,,,
354,No Overlap,,,
355,No Overlap,,,
356,No Overlap,,,
357,No Overlap,0.999999999,0.2,0.999999999
358,No Overlap,0.125,,
359,No Overlap,0.526315789,,
360,No Overlap,,,
361,No Overlap,0.142857143,,
362,No Overlap,,,
363,No Overlap,,,
364,No Overlap,,0.117647588,0.117647588
365,No Overlap,,,
366,No Overlap,,0.588235294,
367,No Overlap,,0.999999999,
368,No Overlap,0.499999998,0.499999998,
369,No Overlap,0.999999999,0.999999999,
370,No Overlap,,,
371,No Overlap,,,
372,No Overlap,,,
373,No Overlap,0.333333332,0.333333332,
374,No Overlap,,,
375,No Overlap,,,
376,No Overlap,,,
377,No Overlap,,,
378,No Overlap,,0.166666666,
379,No Overlap,,,
380,No Overlap,0.375,0.375,
381,No Overlap,,,
382,No Overlap,0.166666666,0.333333333,0.166666666
383,No Overlap,,,
384,No Overlap,,,
385,No Overlap,,,
386,No Overlap,0.142857143,,
387,No Overlap,,,
388,No Overlap,0.222222222,0.222222222,0.11111112
389,No Overlap,,,
390,No Overlap,0.857142856,0.571428576,0.857142856
391,No Overlap,0.142857143,0.285714285,0.142857143
392,No Overlap,,,
393,No Overlap,,,
394,No Overlap,,,
395,No Overlap,,0.249999999,
396,No Overlap,,,
397,No Overlap,0.499999999,0.249999999,0.249999999
398,No Overlap,0.999999998,0.499999999,0.499999999
399,No Overlap,,,
400,No Overlap,,,
401,No Overlap,,,
402,No Overlap,,,
403,No Overlap,,,
404,No Overlap,0.749999998,,0.249999999
405,No Overlap,0.333333332,0.333333332,
406,No Overlap,0.666666664,,
407,No Overlap,,,
408,No Overlap,0.714285714,,
409,No Overlap,,0.999999995,
410,No Overlap,0.999982645,,
411,No Overlap,,0.2,
412,No Overlap,,,
413,No Overlap,,,
414,No Overlap,,,
415,No Overlap,,,
416,No Overlap,,,
417,No Overlap,,,
418,No Overlap,,,
419,No Overlap,,,0.99999999
420,No Overlap,,,
421,No Overlap,,,
422,No Overlap,,,
423,No Overlap,0.399999999,0.399999999,0.399999999
424,No Overlap,0.999982645,,0.272727272
425,No Overlap,0.249999999,,
426,No Overlap,0.125,0.125,
427,No Overlap,,,0.166666666
428,No Overlap,,0.499999998,0.499999998
429,No Overlap,,,
430,No Overlap,0.714285714,,
431,No Overlap,,0.333333333,
432,No Overlap,0.749999998,0.499999999,0.499999999
433,No Overlap,,,0.666666664
434,No Overlap,,,
435,No Overlap,,,
436,No Overlap,,,
437,No Overlap,0.666666664,0.333333332,0.333333332
438,No Overlap,0.142857143,,
439,No Overlap,,,
440,No Overlap,0.499999998,,
441,No Overlap,,,
442,No Overlap,,,
443,No Overlap,0.999999999,,
444,No Overlap,,,
445,No Overlap,,,
446,No Overlap,0.166666667,0.666666666,0.283333332
447,No Overlap,0.625,,
448,No Overlap,,0.588235294,
449,No Overlap,0.625,,
450,No Overlap,,0.999999999,0.499999999
451,No Overlap,0.99999999,,
452,No Overlap,,,
453,No Overlap,,,
454,No Overlap,0.799999999,0.799999999,0.3
455,No Overlap,,,
456,No Overlap,0.153846154,,0.769237686
457,No Overlap,0.166666666,0.166666666,
458,No Overlap,,0.714285713,0.285714285
459,No Overlap,,,
460,No Overlap,,0.666666664,
461,No Overlap,,,
462,No Overlap,,0.999999998,
463,No Overlap,,,
