,with_overlap,500 characters,1000 characters,1500 characters
0,Overlap,0.1875,0.166666667,0.181818182
1,Overlap,0.375,0.214285714,0.157894737
2,Overlap,0.375,0.1,0.09375
3,Overlap,0.107142857,0.078431373,0.065217391
4,Overlap,0.416666667,0.210526316,0.181818182
5,Overlap,0.2,0.266666667,0.151515152
6,Overlap,0.230769231,0.078947368,0.081081081
7,Overlap,0.047619048,0.085714286,0.153846154
8,Overlap,0.333333333,0.235294118,0.125
9,Overlap,0.210526316,0.2,0.107142857
10,Overlap,0.285714286,0.130434783,0
11,Overlap,0.176470588,0.09375,0.037037037
12,Overlap,0.214285714,0.130434783,0
13,Overlap,0.2,0.115384615,0.083333333
14,Overlap,0.4375,0.130434783,0.111111111
15,Overlap,0.107142857,0.3,0.038834951
16,Overlap,0,0.125,0.142857143
17,Overlap,0.136363636,0.137931034,0.098039216
18,Overlap,0.076923077,0.1,0.034482759
19,Overlap,0.333333333,0.1875,0.2
20,Overlap,0.307692308,0.076923077,0.073170732
21,Overlap,0.096774194,0.085714286,0.037037037
22,Overlap,0.12,0.044776119,0.02970297
23,Overlap,0.2,0.2,0.048780488
24,Overlap,0.3,0.15,0.046875
25,Overlap,0.115384615,0.032967033,0.04
26,Overlap,0.130434783,0.09375,0.071428571
27,Overlap,0.272727273,0.166666667,0.014925373
28,Overlap,0.4,0.15,0.044776119
29,Overlap,0.142857143,0.068181818,0
30,Overlap,0.272727273,0.388888889,0.1875
31,Overlap,0,0.304347826,0.257142857
32,Overlap,0.12,0.1875,0.096774194
33,Overlap,0.142857143,0.09375,0.047619048
34,Overlap,0.2,0.285714286,0.1875
35,Overlap,0.16,0.103448276,0.2
36,Overlap,0.428571429,0.214285714,0.176470588
37,Overlap,0.428571429,0.272727273,0.176470588
38,Overlap,0.25,0.125,0.142857143
39,Overlap,0.083333333,0.129032258,0.111111111
40,Overlap,0.375,0,0.115384615
41,Overlap,0.266666667,0.4,0.052631579
42,Overlap,0.375,0.173913043,0.136363636
43,Overlap,0.375,0.25,0.148148148
44,Overlap,0.25,0.214285714,0
45,Overlap,0.083333333,0.086956522,0.066666667
46,Overlap,0.1875,0.08,0.06097561
47,Overlap,0.333333333,0.2,0.032258065
48,Overlap,0.083333333,0.073170732,0.025
49,Overlap,0.210526316,0.1875,0.081081081
50,Overlap,0.285714286,0.096774194,0.025
51,Overlap,0.035714286,0.166666667,0.066666667
52,Overlap,0.166666667,0.052631579,0.071428571
53,Overlap,0.071428571,0,0.025
54,Overlap,0.384615385,0.136363636,0.117647059
55,Overlap,0.217391304,0,0.096774194
56,Overlap,0.333333333,0.12,0.076923077
57,Overlap,0.363636364,0.2,0.093023256
58,Overlap,0.25,0,0.071428571
59,Overlap,0.545454545,0.073170732,0.125
60,Overlap,0.090909091,0.117647059,0.053571429
61,Overlap,0.230769231,0.166666667,0.025
62,Overlap,0.333333333,0.115384615,0.133333333
63,Overlap,0.25,0.269230769,0.096774194
64,Overlap,0.272727273,0.111111111,0.230769231
65,Overlap,0.266666667,0.129032258,0.090909091
66,Overlap,0.142857143,0.125,0.115384615
67,Overlap,0.176470588,0.107142857,0.181818182
68,Overlap,0.285714286,0.176470588,0.09375
69,Overlap,0.230769231,0.075,0.12
70,Overlap,0.130434783,0.038461538,0.09375
71,Overlap,0.1875,0.111111111,0.136363636
72,Overlap,0.230769231,0.148148148,0.136363636
73,Overlap,0.157894737,0.05,0.090909091
74,Overlap,0.4,0.142857143,0.125
75,Overlap,0.3,0.166666667,0.073170732
76,Overlap,0.12,0.014285714,0.042253521
77,Overlap,0,0.1875,0.214285714
78,Overlap,0.3,0.088235294,0.032258065
79,Overlap,0.214285714,0.055555556,0.081081081
