,model,speed,index
0,gemma,43.26956129074097,16
1,gemma,51.10261917114258,19
2,gemma,28.606508016586304,38
3,gemma,43.08216309547424,41
4,gemma,40.89920783042908,51
5,gemma,80.81930422782898,52
6,gemma,69.94620609283447,71
7,gemma,42.79751706123352,91
8,gemma,68.92390704154968,92
9,gemma,45.59443378448486,125
10,gemma,53.730469942092896,133
11,gemma,54.2870409488678,139
12,gemma,88.33069205284119,153
13,gemma,34.97382616996765,189
14,gemma,46.62313508987427,206
15,gemma,45.190783977508545,208
16,gemma,91.55664920806885,211
17,gemma,68.82699608802795,224
18,gemma,48.465587854385376,226
19,gemma,94.14891695976257,228
20,gemma2,67.77203583717346,16
21,gemma2,63.760254859924316,19
22,gemma2,35.626813888549805,38
23,gemma2,51.824461936950684,41
24,gemma2,49.3381187915802,51
25,gemma2,88.01255798339844,52
26,gemma2,98.77066612243652,71
27,gemma2,47.53010392189026,91
28,gemma2,85.49486684799194,92
29,gemma2,54.29097318649292,125
30,gemma2,69.81288719177246,133
31,gemma2,68.58374810218811,139
32,gemma2,113.84091186523438,153
33,gemma2,42.2113401889801,189
34,gemma2,66.66129302978516,206
35,gemma2,54.46797966957092,208
36,gemma2,90.85698199272156,211
37,gemma2,88.27436113357544,224
38,gemma2,59.04856204986572,226
39,gemma2,107.3765480518341,228
40,llama2,41.105801820755005,16
41,llama2,102.7820496559143,19
42,llama2,35.29967999458313,38
43,llama2,44.17469000816345,41
44,llama2,44.43108916282654,51
45,llama2,74.37884330749512,52
46,llama2,106.74213695526123,71
47,llama2,56.031047344207764,91
48,llama2,67.41923713684082,92
49,llama2,51.002318143844604,125
50,llama2,81.59665632247925,133
51,llama2,75.19864320755005,139
52,llama2,141.77718305587769,153
53,llama2,45.71565532684326,189
54,llama2,61.39888787269592,206
55,llama2,51.58628487586975,208
56,llama2,188.1543538570404,211
57,llama2,101.07355093955994,224
58,llama2,120.43982291221619,226
59,llama2,123.42665719985962,228
60,llama3,37.20015907287598,16
61,llama3,87.88249802589417,19
62,llama3,52.21275496482849,38
63,llama3,49.83288288116455,41
64,llama3,77.56201219558716,51
65,llama3,73.14112877845764,52
66,llama3,71.7336118221283,71
67,llama3,75.8950572013855,91
68,llama3,85.83896708488464,92
69,llama3,70.35889601707458,125
70,llama3,125.0802149772644,133
71,llama3,76.75299215316772,139
72,llama3,122.31517314910889,153
73,llama3,41.69790697097778,189
74,llama3,75.52333784103394,206
75,llama3,75.52593111991882,208
76,llama3,140.89337396621704,211
77,llama3,105.05642986297607,224
78,llama3,65.82663202285767,226
79,llama3,90.63811707496643,228
80,mistral,68.22376012802124,16
81,mistral,85.968435049057,19
82,mistral,31.498904705047607,38
83,mistral,51.52896595001221,41
84,mistral,57.24863910675049,51
85,mistral,77.49407577514648,52
86,mistral,85.995600938797,71
87,mistral,60.947635889053345,91
88,mistral,93.03246283531189,92
89,mistral,67.93379926681519,125
90,mistral,92.06095933914185,133
91,mistral,79.25548434257507,139
92,mistral,125.71813583374023,153
93,mistral,48.38989996910095,189
94,mistral,76.83530807495117,206
95,mistral,54.40020394325256,208
96,mistral,97.25707507133484,211
97,mistral,91.1202380657196,224
98,mistral,92.64522290229797,226
99,mistral,115.54429793357849,228
100,vicuna,63.64374613761902,16
101,vicuna,102.81916284561157,19
102,vicuna,47.289286851882935,38
103,vicuna,46.77877402305603,41
104,vicuna,71.87348890304565,51
105,vicuna,91.74792003631592,52
106,vicuna,81.10501098632812,71
107,vicuna,48.28865933418274,91
108,vicuna,78.98463416099548,92
109,vicuna,51.93361806869507,125
110,vicuna,135.26981902122498,133
111,vicuna,77.06534600257874,139
112,vicuna,133.82735514640808,153
113,vicuna,46.57390284538269,189
114,vicuna,54.74585509300232,206
115,vicuna,47.27621102333069,208
116,vicuna,106.50539422035217,211
117,vicuna,98.98050212860107,224
118,vicuna,69.63422107696533,226
119,vicuna,111.63337016105652,228
