,model,speed,index
0,gemma,6.244056701660156,16
1,gemma,1.13081407546997,19
2,gemma,0.774889945983886,38
3,gemma,0.890377044677734,41
4,gemma,1.095083951950073,51
5,gemma,1.839311122894287,52
6,gemma,1.484963178634643,71
7,gemma,1.206958055496215,91
8,gemma,1.599040031433105,92
9,gemma,1.338227272033691,125
10,gemma,1.187515974044799,133
11,gemma,1.262054920196533,139
12,gemma,1.750191211700439,153
13,gemma,1.045984983444213,189
14,gemma,1.497906923294067,206
15,gemma,1.037996053695678,208
16,gemma,1.93971300125122,211
17,gemma,1.288104057312011,224
18,gemma,1.634524822235107,226
19,gemma,1.9759738445281982,228
20,llama2,5.336083173751831,16
21,llama2,3.068830966949463,19
22,llama2,1.984854936599731,38
23,llama2,0.9715278148651121,41
24,llama2,1.63063383102417,51
25,llama2,2.04550290107727,52
26,llama2,4.005062818527222,71
27,llama2,2.6672840118408203,91
28,llama2,2.338870048522949,92
29,llama2,1.747079133987426,125
30,llama2,3.159544229507446,133
31,llama2,2.050993919372558,139
32,llama2,4.405086994171143,153
33,llama2,1.884675979614257,189
34,llama2,1.990868091583252,206
35,llama2,1.1332199573516841,208
36,llama2,8.396852016448975,211
37,llama2,2.24442195892334,224
38,llama2,4.984190940856934,226
39,llama2,1.785147905349731,228
40,llama3,8.818716287612915,16
41,llama3,5.93104100227356,19
42,llama3,2.030042886734009,38
43,llama3,1.329097986221313,41
44,llama3,2.197759866714477,51
45,llama3,2.266084194183349,52
46,llama3,2.071939945220947,71
47,llama3,3.067548036575317,91
48,llama3,3.380413770675659,92
49,llama3,3.59647798538208,125
50,llama3,6.851176977157593,133
51,llama3,1.8096623420715332,139
52,llama3,2.992446899414062,153
53,llama3,1.5312349796295162,189
54,llama3,2.970362186431884,206
55,llama3,1.332158088684082,208
56,llama3,6.151292324066162,211
57,llama3,3.087001085281372,224
58,llama3,2.6310980319976798,226
59,llama3,3.895915985107422,228
60,llama3-70b,51.28654193878174,16
61,llama3-70b,33.48430514335632,19
62,llama3-70b,11.200176000595093,38
63,llama3-70b,10.505499124526978,41
64,llama3-70b,14.967712163925171,51
65,llama3-70b,35.543144941329956,71
66,llama3-70b,54.35356402397156,91
67,llama3-70b,21.913520097732544,92
68,llama3-70b,25.796040773391724,125
69,llama3-70b,49.95265007019043,133
70,llama3-70b,12.985115766525269,139
71,llama3-70b,37.81006574630737,189
72,llama3-70b,26.887676000595093,206
73,llama3-70b,19.15077304840088,208
74,llama3-70b,55.27338695526123,224
75,llama3-70b,36.655040979385376,226
76,mistral,11.12721586227417,16
77,mistral,2.530871868133545,19
78,mistral,1.35683012008667,38
79,mistral,1.530447244644165,41
80,mistral,1.175584077835083,51
81,mistral,2.30757188796997,52
82,mistral,2.353342056274414,71
83,mistral,2.044872999191284,91
84,mistral,2.87026309967041,92
85,mistral,2.550983905792236,125
86,mistral,2.33464503288269,133
87,mistral,1.582302093505859,139
88,mistral,3.359123945236206,153
89,mistral,1.722490787506103,189
90,mistral,2.2642428874969482,206
91,mistral,2.149907827377319,208
92,mistral,2.509448766708374,211
93,mistral,2.705337762832641,224
94,mistral,2.302289009094238,226
95,mistral,2.714545965194702,228
96,vicuna,6.08178186416626,16
97,vicuna,3.118355274200439,19
98,vicuna,1.994321107864379,38
99,vicuna,0.9853458404541011,41
100,vicuna,1.932729959487915,51
101,vicuna,3.184697866439819,52
102,vicuna,3.874602079391479,71
103,vicuna,8.73249888420105,91
104,vicuna,4.213762283325195,92
105,vicuna,2.206187963485717,125
106,vicuna,5.8866071701049805,133
107,vicuna,3.629686117172241,139
108,vicuna,4.314223289489746,153
109,vicuna,1.8309729099273682,189
110,vicuna,3.4740560054779053,206
111,vicuna,3.376847982406616,208
112,vicuna,3.079463958740234,211
113,vicuna,3.7757551670074463,224
114,vicuna,1.9481251239776611,226
115,vicuna,3.501964092254638,228
