mean_distance_a,relevance_score_a,mean_distance_n,relevance_score_n
0.35800000000000004,95.0,0.436,89.0
0.63125,72.0,0.38975000000000004,93.0
0.5896666666666667,76.0,0.9163333333333333,49.0
0.5619999999999999,78.0,0.9826666666666667,43.0
0.4455,88.0,0.37275,94.0
0.26733333333333337,103.0,0.3505,96.0
0.685,68.0,0.9636666666666667,45.0
0.26025,103.0,0.4613333333333333,87.0
0.44166666666666665,88.0,0.341,97.0
0.6106666666666666,74.0,0.91675,49.0
0.3522,96.0,0.393,92.0
0.3433333333333333,96.0,0.4533333333333333,87.0
0.47500000000000003,85.0,0.5353333333333334,80.0
0.46399999999999997,86.0,0.44733333333333336,88.0
0.48333333333333334,85.0,0.6146,74.0
0.6325,72.0,0.6126666666666667,74.0
0.6156666666666667,74.0,1.2610000000000001,20.0
0.5226666666666667,81.0,0.89025,51.0
1.237,22.0,0.9303333333333335,47.0
0.5276666666666666,81.0,0.6498,71.0
0.5034,83.0,0.421,90.0
0.6436666666666667,71.0,0.681,68.0
0.9263333333333333,48.0,0.8772,52.0
0.51625,82.0,0.9662499999999999,44.0
0.254,104.0,0.39599999999999996,92.0
0.5451999999999999,80.0,0.539,80.0
0.3056666666666667,100.0,0.4343333333333333,89.0
0.5775,77.0,0.738,64.0
0.5353333333333333,80.0,0.7959999999999999,59.0
0.6246666666666667,73.0,0.6273333333333334,73.0
0.46725,86.0,0.7426666666666666,63.0
0.365,95.0,0.34750000000000003,96.0
0.2986666666666667,100.0,0.4446666666666667,88.0
0.45599999999999996,87.0,0.40599999999999997,91.0
0.4416666666666667,88.0,0.446,88.0
0.523,81.0,0.458,87.0
0.69475,67.0,0.6463333333333333,71.0
0.6416666666666667,72.0,0.6633333333333334,70.0
0.528,81.0,0.57175,77.0
0.8183333333333334,57.0,1.0595,37.0
0.9209999999999999,48.0,0.8483333333333333,54.0
0.80825,58.0,0.6806666666666666,68.0
0.6903333333333334,67.0,0.6407499999999999,72.0
0.90475,50.0,0.7956666666666666,59.0
0.6056666666666667,75.0,0.6553333333333334,70.0
0.5514000000000001,79.0,0.525,81.0
0.6900000000000001,68.0,0.6116666666666667,74.0
0.6166666666666666,74.0,0.58525,76.0
0.9346666666666668,47.0,0.8806666666666666,52.0
0.55,79.0,0.507,83.0
0.7663333333333333,61.0,0.742,63.0
0.561,78.0,0.523,81.0
0.5950000000000001,75.0,0.8245,56.0
0.7693333333333333,61.0,0.7573333333333334,62.0
0.37849999999999995,93.0,0.4666666666666666,86.0
0.5582500000000001,78.0,0.695,67.0
0.6555,70.0,1.0026666666666666,41.0
0.7006666666666667,67.0,0.75625,62.0
0.5218,82.0,0.725,65.0
0.5403333333333333,80.0,0.601,75.0
0.657,70.0,0.8450000000000001,55.0
0.6213333333333333,73.0,0.767,61.0
0.4443333333333334,88.0,0.785,60.0
0.46466666666666673,86.0,0.57975,77.0
0.7853333333333333,60.0,0.726,64.0
0.47733333333333333,85.0,0.7483333333333334,63.0
0.42966666666666664,89.0,0.75425,62.0
0.8027500000000001,58.0,0.90625,49.0
0.28675,101.0,0.35433333333333333,95.0
0.48533333333333334,85.0,0.60275,75.0
0.6603333333333333,70.0,0.77725,60.0
0.45525000000000004,87.0,0.71575,65.0
0.6663333333333333,69.0,0.6186,73.0
0.2603333333333333,103.0,0.43225,89.0
0.41875,90.0,0.43574999999999997,89.0
0.6495,71.0,0.6366666666666667,72.0
0.819,57.0,0.6243333333333333,73.0
0.676,69.0,0.8806,52.0
0.9215,48.0,1.1853333333333331,26.0
0.61925,73.0,0.58475,76.0
0.7192,65.0,0.7440000000000001,63.0
0.8056666666666666,58.0,0.8770000000000001,52.0
0.63775,72.0,0.7285,64.0
0.5673333333333334,78.0,0.9096666666666667,49.0
0.9075,49.0,1.33425,14.0
0.8545,54.0,1.0042499999999999,41.0
0.7033333333333335,66.0,0.6866666666666666,68.0
0.6992499999999999,67.0,0.646,71.0
0.7422500000000001,63.0,0.5826666666666666,76.0
0.8195,57.0,1.0363333333333333,39.0
1.3385,13.0,0.8345,55.0
0.44733333333333336,88.0,0.49133333333333334,84.0
0.6083333333333334,74.0,0.5993333333333334,75.0
0.5325,81.0,0.7853333333333333,60.0
0.43100000000000005,89.0,0.5363333333333333,80.0
0.8453333333333334,55.0,0.6565000000000001,70.0
0.562,78.0,0.6056666666666667,75.0
0.9039999999999999,50.0,0.99225,42.0
0.559,78.0,0.546,80.0
0.7440000000000001,63.0,1.1056666666666668,33.0
0.5654,78.0,0.73975,63.0
0.6753333333333332,69.0,1.0596666666666668,37.0
0.8353333333333334,55.0,0.9335,47.0
0.59775,75.0,0.8117500000000001,57.0
0.6723333333333333,69.0,0.76125,62.0
0.8736666666666667,52.0,1.0603333333333333,37.0
0.7223333333333333,65.0,0.7936666666666667,59.0
0.41275,91.0,0.47900000000000004,85.0
0.41500000000000004,90.0,0.6157999999999999,74.0
0.5713333333333334,77.0,0.8573333333333334,54.0
0.5025,83.0,0.6773333333333333,69.0
0.44799999999999995,88.0,0.46799999999999997,86.0
0.7133333333333333,66.0,0.9638,45.0
0.37750000000000006,94.0,0.3748571428571429,94.0
0.5925,76.0,0.5508,79.0
0.61725,74.0,0.5905,76.0
0.31900000000000006,98.0,0.3066666666666667,99.0
0.37333333333333335,94.0,0.44366666666666665,88.0
0.9317500000000001,47.0,0.46825,86.0
0.26366666666666666,103.0,0.2193333333333333,107.0
0.5093333333333333,83.0,0.5563333333333333,79.0
0.4106666666666667,91.0,0.35600000000000004,95.0
0.3554,95.0,0.44000000000000006,88.0
0.9540000000000001,45.0,1.188,26.0
0.32666666666666666,98.0,0.5223333333333333,81.0
0.32466666666666666,98.0,0.5773333333333334,77.0
0.5626666666666666,78.0,0.3085,99.0
0.3496666666666666,96.0,0.457,87.0
1.0302,39.0,0.6275000000000001,73.0
0.5467500000000001,79.0,0.5306666666666667,81.0
0.421,90.0,1.032,39.0
0.4013333333333333,92.0,0.5138,82.0
0.48824999999999996,84.0,0.4915,84.0
0.6415,72.0,0.6183333333333333,73.0
0.7630000000000001,61.0,0.7556666666666666,62.0
0.28475,101.0,0.28579999999999994,101.0
0.768,61.0,0.8627499999999999,53.0
0.51875,82.0,0.573,77.0
0.7172499999999999,65.0,0.851,54.0
0.60675,74.0,0.7051999999999999,66.0
0.5096666666666666,83.0,0.5456666666666666,80.0
0.5735,77.0,0.498,84.0
0.92575,48.0,1.3150000000000002,15.0
0.6192,73.0,0.898,50.0
0.58925,76.0,0.8859999999999999,51.0
0.6426000000000001,71.0,0.541,80.0
0.3976,92.0,0.4288,89.0
0.422,90.0,0.5153333333333334,82.0
0.59375,76.0,0.5183333333333332,82.0
0.5402,80.0,0.531,81.0
0.5936666666666667,76.0,0.6226666666666666,73.0
0.4145,90.0,0.5512,79.0
0.6196666666666667,73.0,1.0066666666666666,41.0
0.33,98.0,0.30425,100.0
0.53975,80.0,0.61025,74.0
0.533,81.0,0.6106666666666667,74.0
0.6136666666666667,74.0,0.8892500000000001,51.0
0.6203333333333333,73.0,0.7093333333333334,66.0
0.775,60.0,0.7626666666666666,61.0
0.7170000000000001,65.0,0.9039999999999999,50.0
0.49766666666666665,84.0,0.74375,63.0
0.6427499999999999,71.0,0.631,72.0
0.6310000000000001,72.0,0.5477500000000001,79.0
0.87525,52.0,0.9653333333333333,45.0
0.71075,66.0,0.7066666666666667,66.0
0.8016666666666667,58.0,0.6833333333333335,68.0
1.0350000000000001,39.0,0.8540000000000001,54.0
0.31066666666666665,99.0,0.5953333333333334,75.0
0.8130000000000001,57.0,0.9966666666666667,42.0
0.46925,86.0,0.4083333333333334,91.0
0.858,53.0,1.0106,41.0
0.462,86.0,0.9329999999999999,47.0
0.514,82.0,0.6785000000000001,68.0
0.7726666666666665,61.0,0.76675,61.0
0.31666666666666665,99.0,0.35400000000000004,96.0
0.931,47.0,0.9812000000000001,43.0
0.43533333333333335,89.0,0.46,87.0
0.73,64.0,0.9466666666666667,46.0
0.7073333333333333,66.0,0.5473333333333333,79.0
0.987,43.0,1.069,36.0
0.6463333333333333,71.0,0.851,54.0
0.572,77.0,0.5213333333333333,82.0
0.834,55.0,0.8156666666666667,57.0
0.5276666666666666,81.0,0.653,71.0
1.0445999999999998,38.0,1.0032,41.0
0.6389999999999999,72.0,0.71875,65.0
0.5710000000000001,77.0,0.8182,57.0
1.007,41.0,0.74075,63.0
0.722,65.0,0.923,48.0
0.863,53.0,0.9948,42.0
0.6926666666666668,67.0,0.7293333333333334,64.0
1.2256666666666665,23.0,1.39975,8.0
0.644,71.0,0.62225,73.0
0.714,66.0,0.69,68.0
0.4843333333333333,85.0,0.5725,77.0
0.36375,95.0,0.5143333333333333,82.0
0.503,83.0,0.7263333333333334,64.0
0.4706666666666666,86.0,0.6683333333333333,69.0
1.3354,14.0,0.9189999999999999,48.0
0.6346666666666666,72.0,0.6509999999999999,71.0
0.9524999999999999,46.0,0.9473333333333334,46.0
0.828,56.0,0.9233333333333333,48.0
0.318,98.0,0.4040000000000001,91.0
0.8,58.0,0.789,59.0
0.6116666666666667,74.0,0.629,73.0
0.7276666666666668,64.0,1.438,0
0.7076666666666668,66.0,0.7345,64.0
0.8252,56.0,1.0068,41.0
0.63,72.0,0.5736666666666667,77.0
0.7033333333333333,66.0,0.7486666666666667,63.0
1.0366666666666666,39.0,0.74325,63.0
0.5086666666666667,83.0,0.5278,81.0
0.7000000000000001,67.0,1.165,28.0
0.38466666666666666,93.0,0.47633333333333333,85.0
0.383,93.0,0.5367999999999999,80.0
0.39966666666666667,92.0,0.5077499999999999,83.0
0.5516,79.0,0.48133333333333334,85.0
0.5139999999999999,82.0,0.4956666666666667,84.0
0.36233333333333334,95.0,0.4093333333333333,91.0
0.5446666666666666,80.0,0.5043333333333334,83.0
0.6705,69.0,0.5143333333333333,82.0
0.6313333333333334,72.0,0.5383333333333334,80.0
0.5035000000000001,83.0,0.6263333333333333,73.0
0.6073333333333334,74.0,0.59325,76.0
0.593,76.0,0.473,86.0
0.49400000000000005,84.0,0.6877499999999999,68.0
0.28375,101.0,0.4506666666666667,87.0
0.4526666666666667,87.0,0.5477500000000001,79.0
0.37199999999999994,94.0,0.43,89.0
0.6509999999999999,71.0,0.4415,88.0
