mean_distance_n,relevance_score_n
84.95,92.00
142.67,79.00
151.87,77.00
173.17,73.00
83.94,92.00
70.55,95.00
143.58,79.00
77.02,94.00
81.18,93.00
209.06,65.00
95.14,90.00
106.51,87.00
96.86,90.00
97.68,89.00
96.20,90.00
102.92,88.00
257.39,54.00
179.02,71.00
189.48,69.00
111.15,86.00
92.82,90.00
101.39,89.00
157.92,76.00
161.03,75.00
94.02,90.00
97.82,89.00
102.20,88.00
134.99,81.00
126.17,83.00
117.11,85.00
175.47,72.00
112.45,86.00
116.17,85.00
109.23,87.00
133.00,82.00
80.85,93.00
109.13,87.00
127.89,83.00
111.80,86.00
230.37,60.00
153.38,77.00
120.60,84.00
110.20,87.00
140.09,80.00
97.68,89.00
96.34,90.00
140.44,80.00
98.73,89.00
161.11,75.00
101.68,89.00
149.97,78.00
105.37,88.00
155.39,77.00
132.32,82.00
75.40,94.00
126.56,83.00
251.65,55.00
136.41,81.00
132.16,82.00
108.21,87.00
168.92,74.00
123.92,84.00
125.76,83.00
109.74,87.00
154.45,77.00
121.21,84.00
111.35,86.00
165.01,74.00
82.84,93.00
105.44,88.00
125.96,83.00
122.50,84.00
130.43,82.00
95.42,90.00
88.73,91.00
160.06,76.00
173.07,73.00
166.17,74.00
233.25,59.00
81.15,93.00
153.68,77.00
143.64,79.00
137.03,81.00
192.88,68.00
306.04,43.00
189.82,69.00
109.64,87.00
131.16,82.00
97.69,89.00
181.07,71.00
208.22,65.00
110.06,87.00
101.02,89.00
138.25,80.00
120.19,84.00
124.92,83.00
91.59,91.00
155.72,77.00
92.72,91.00
194.18,68.00
124.63,83.00
166.23,74.00
146.50,79.00
126.36,83.00
107.30,87.00
172.58,73.00
134.93,81.00
103.19,88.00
143.69,79.00
266.74,52.00
121.72,84.00
85.04,92.00
138.76,80.00
82.98,93.00
125.39,83.00
118.27,85.00
48.98,100.00
85.87,92.00
109.52,87.00
51.03,100.00
109.96,87.00
86.29,92.00
106.04,88.00
211.18,64.00
77.20,94.00
83.50,93.00
85.69,92.00
106.41,87.00
140.61,80.00
87.85,92.00
249.34,56.00
116.85,85.00
88.69,91.00
127.88,83.00
158.38,76.00
66.69,96.00
166.22,74.00
116.06,85.00
99.85,89.00
104.42,88.00
97.74,89.00
104.13,88.00
103.79,88.00
116.06,85.00
155.97,76.00
113.82,86.00
71.17,95.00
80.87,93.00
105.69,88.00
91.21,91.00
125.95,83.00
81.58,93.00
192.03,68.00
77.94,94.00
156.88,76.00
101.00,89.00
156.66,76.00
142.78,79.00
128.80,82.00
144.25,79.00
118.02,85.00
117.24,85.00
147.17,78.00
145.75,79.00
123.05,84.00
109.11,87.00
156.72,76.00
94.41,90.00
206.83,65.00
71.53,95.00
181.60,71.00
271.92,51.00
129.44,82.00
170.48,73.00
70.70,95.00
158.15,76.00
71.36,95.00
239.56,58.00
109.09,87.00
190.35,69.00
141.01,80.00
109.91,87.00
148.55,78.00
140.93,80.00
136.75,81.00
113.64,86.00
134.07,81.00
148.61,78.00
119.12,85.00
149.21,78.00
111.86,86.00
334.17,37.00
139.22,80.00
144.83,79.00
87.88,92.00
120.95,84.00
99.54,89.00
141.31,80.00
199.99,67.00
133.66,81.00
148.08,78.00
239.05,58.00
82.26,93.00
187.97,69.00
118.76,85.00
360.24,31.00
135.90,81.00
268.90,51.00
80.37,93.00
116.75,85.00
138.02,80.00
91.85,91.00
264.40,52.00
104.16,88.00
96.87,90.00
99.84,89.00
121.50,84.00
101.41,89.00
88.71,91.00
88.41,91.00
118.98,85.00
100.75,89.00
150.07,78.00
106.64,87.00
76.97,94.00
102.30,88.00
92.94,90.00
119.02,85.00
90.82,91.00
106.68,87.00
154.48,77.00
152.80,77.00
