mean_distance_a,relevance_score_a,mean_distance_n,relevance_score_n
63.92,102,85.79,95
74.56,99,81.09,97
135.15,80,143.76,78
92.88,93,179.27,67
68.70,100,92.37,93
55.11,105,58.31,104
84.61,96,157.25,74
61.15,103,78.34,97
115.57,86,58.42,104
172.45,69,183.77,66
75.51,98,96.10,92
82.10,96,100.46,91
90.80,94,95.57,92
89.37,94,96.53,92
91.84,93,89.34,94
119.70,85,106.92,89
89.46,94,269.26,40
120.75,85,187.19,64
213.55,57,161.45,72
111.20,88,116.38,86
102.12,90,92.83,93
98.64,91,89.23,94
80.51,97,138.97,79
155.03,74,175.85,68
54.52,105,79.81,97
98.75,91,105.97,89
90.30,94,107.41,89
98.92,91,133.36,81
110.02,88,130.78,82
114.81,86,125.78,83
91.31,94,169.88,70
72.27,99,119.52,85
120.42,85,114.38,87
121.13,85,113.29,87
145.38,77,116.57,86
155.89,74,90.28,94
118.67,85,108.89,88
137.43,80,121.20,84
112.05,87,100.17,91
135.37,80,203.19,60
138.87,79,122.52,84
111.53,87,158.64,73
146.05,77,118.42,85
158.06,73,120.73,85
155.96,74,92.44,93
111.50,87,89.69,94
165.17,71,147.44,77
120.19,85,98.40,91
242.99,48,156.97,74
78.27,97,86.40,95
191.68,63,145.46,77
93.57,93,103.91,90
160.23,73,148.58,76
112.45,87,140.56,79
70.23,100,65.01,102
70.17,100,122.14,84
136.02,80,241.14,48
103.76,90,134.41,80
72.46,99,148.39,76
93.11,93,116.33,86
155.89,74,160.84,72
100.38,91,127.48,83
89.84,94,139.93,79
108.03,88,106.07,89
136.04,80,144.16,78
105.23,89,97.00,92
79.89,97,106.27,89
116.66,86,167.70,70
67.30,101,104.57,90
60.55,103,108.58,88
141.63,78,153.08,75
118.87,85,105.37,89
124.25,84,139.07,79
51.79,106,102.65,90
60.01,103,91.06,94
134.28,81,156.92,74
205.01,59,186.81,65
186.49,65,174.20,68
160.17,73,239.38,49
79.58,97,89.61,94
150.97,75,132.65,81
127.61,83,142.42,78
125.96,83,152.85,75
138.49,79,234.26,50
222.22,54,311.20,27
92.34,93,164.68,71
119.92,85,119.02,85
153.19,75,128.57,82
156.53,74,99.75,91
151.76,75,190.49,63
95.05,92,181.94,66
88.14,95,116.49,86
118.97,85,106.32,89
120.34,85,106.49,89
76.17,98,103.61,90
137.48,80,140.42,79
135.80,80,92.19,93
154.63,74,161.18,72
91.41,94,97.67,92
105.37,89,191.27,63
91.24,94,156.14,74
97.04,92,156.05,74
121.85,84,167.35,71
104.23,90,136.23,80
72.71,99,110.39,88
182.05,66,197.25,61
127.42,83,131.16,81
71.18,100,109.38,88
105.89,89,160.48,73
110.10,88,248.38,46
90.66,94,118.83,85
71.94,99,88.84,94
131.40,81,134.41,80
86.84,95,101.33,91
98.29,91,121.05,85
88.33,94,126.57,83
71.09,100,61.19,103
57.39,104,77.71,98
140.84,79,138.37,79
56.02,104,57.72,104
122.35,84,123.11,84
73.33,99,70.59,100
101.78,90,101.22,91
129.79,82,229.99,52
48.56,106,90.73,94
87.47,95,94.32,93
99.15,91,76.53,98
87.36,95,93.01,93
191.99,63,134.59,80
97.44,92,103.16,90
99.94,91,254.66,44
117.50,86,117.59,86
84.69,96,89.84,94
162.11,72,134.29,81
164.47,71,162.85,72
96.88,92,74.12,99
196.39,62,180.64,66
160.69,73,119.43,85
79.28,97,140.20,79
200.61,60,122.72,84
126.04,83,105.71,89
210.53,57,107.96,88
134.83,80,112.59,87
124.89,83,123.79,84
120.59,85,145.39,77
101.34,91,104.15,90
73.19,99,67.05,101
82.15,96,82.27,96
120.44,85,112.79,87
91.51,93,82.31,96
125.24,83,132.68,81
61.25,103,79.19,97
95.92,92,183.72,66
74.77,99,89.30,94
115.17,86,150.46,76
64.99,102,116.15,86
100.23,91,163.99,72
83.22,96,113.82,87
126.51,83,132.65,81
187.27,64,123.33,84
78.17,98,135.44,80
156.73,74,148.78,76
116.19,86,84.85,95
132.98,81,159.00,73
116.09,86,134.82,80
134.86,80,107.00,89
177.20,68,148.69,76
90.70,94,97.00,92
169.64,70,214.58,56
67.28,101,70.73,100
127.05,83,187.41,64
92.70,93,286.12,35
153.27,75,125.19,83
170.91,69,172.13,69
82.00,96,77.23,98
172.35,69,179.29,67
81.93,96,67.64,101
143.39,78,252.39,45
125.18,83,134.55,80
213.46,57,218.44,55
122.86,84,114.66,86
98.93,91,101.06,91
165.87,71,154.83,74
93.72,93,122.65,84
144.72,77,140.80,79
116.92,86,122.45,84
101.81,90,145.54,77
222.69,54,140.70,79
121.42,84,113.32,87
149.22,76,171.60,69
130.71,82,130.75,82
339.67,18,322.88,23
124.35,84,116.19,86
142.86,78,136.06,80
105.74,89,98.12,91
96.85,92,101.75,90
98.53,91,107.92,89
101.61,90,118.75,85
202.40,60,298.08,31
117.74,86,134.05,81
156.79,74,188.65,64
151.92,75,204.61,59
87.41,95,78.60,97
177.94,67,199.14,61
97.23,92,75.25,98
222.44,54,373.38,8
112.75,87,141.83,78
223.57,53,250.42,45
92.82,93,88.69,94
75.43,98,122.94,84
128.19,82,152.34,75
96.03,92,87.47,95
126.17,83,257.10,43
95.99,92,106.62,89
68.92,100,92.87,93
83.32,96,86.26,95
99.68,91,118.59,85
91.36,94,107.17,89
96.14,92,89.79,94
163.52,72,110.37,88
105.22,89,124.20,84
113.93,87,106.77,89
127.67,83,125.34,83
99.27,91,104.30,90
89.97,94,89.71,94
106.84,89,99.60,91
65.75,101,81.22,97
99.65,91,110.87,88
60.18,103,103.45,90
113.69,87,117.82,86
95.51,92,153.21,75
138.22,79,150.87,75
