mean_distance_a,relevance_score_a,mean_distance_n,relevance_score_n
0.35,0.96,0.44,0.88
0.51,0.83,0.39,0.93
0.53,0.81,0.7,0.67
0.58,0.77,0.98,0.43
0.37,0.94,0.45,0.88
0.3,1.00,0.26,1.03
0.69,0.68,0.88,0.52
0.27,1.03,0.47,0.86
0.48,0.85,0.33,0.98
0.68,0.68,0.89,0.51
0.41,0.91,0.4,0.92
0.4,0.92,0.49,0.84
0.5,0.83,0.47,0.86
0.48,0.85,0.44,0.88
0.44,0.88,0.57,0.78
0.44,0.88,0.57,0.78
0.67,0.69,1.34,0.13
0.55,0.79,0.88,0.52
1.08,0.35,1.02,0.40
0.64,0.72,0.66,0.70
0.44,0.88,0.44,0.88
0.63,0.73,0.65,0.71
0.84,0.55,1.03,0.39
0.45,0.88,0.9,0.50
0.39,0.93,0.41,0.91
0.57,0.78,0.57,0.78
0.37,0.94,0.48,0.85
0.59,0.76,0.68,0.68
0.6,0.75,0.78,0.60
0.66,0.70,0.62,0.73
0.53,0.81,0.76,0.62
0.33,0.98,0.4,0.92
0.32,0.98,0.49,0.84
0.45,0.88,0.41,0.91
0.42,0.90,0.41,0.91
0.5,0.83,0.43,0.89
0.67,0.69,0.78,0.60
0.69,0.68,0.66,0.70
0.57,0.78,0.66,0.70
0.82,0.57,1.04,0.38
0.79,0.59,0.79,0.59
0.78,0.60,0.71,0.66
0.82,0.57,0.74,0.63
1.02,0.40,0.76,0.62
0.65,0.71,0.67,0.69
0.52,0.82,0.51,0.83
0.7,0.67,0.59,0.76
0.62,0.73,0.67,0.69
0.94,0.47,0.7,0.67
0.52,0.82,0.48,0.85
0.77,0.61,0.58,0.77
0.49,0.84,0.54,0.80
0.73,0.64,0.81,0.58
0.66,0.70,0.77,0.61
0.47,0.86,0.43,0.89
0.52,0.82,0.63,0.73
0.73,0.64,1.07,0.36
0.67,0.69,0.63,0.73
0.46,0.87,0.7,0.67
0.51,0.83,0.65,0.71
0.65,0.71,0.78,0.60
0.45,0.88,0.57,0.78
0.46,0.87,0.75,0.63
0.54,0.80,0.58,0.77
0.69,0.68,0.62,0.73
0.46,0.87,0.78,0.60
0.36,0.95,0.8,0.58
0.79,0.59,0.87,0.53
0.26,1.03,0.3,1.00
0.49,0.84,0.59,0.76
0.69,0.68,0.78,0.60
0.59,0.76,0.63,0.73
0.53,0.81,0.75,0.63
0.3,1.00,0.41,0.91
0.44,0.88,0.46,0.87
0.61,0.74,0.7,0.67
0.71,0.66,0.67,0.69
0.74,0.63,0.9,0.50
0.72,0.65,1.19,0.26
0.86,0.53,0.58,0.77
0.74,0.63,0.81,0.58
0.78,0.60,0.91,0.49
0.79,0.59,0.75,0.63
0.6,0.75,0.94,0.47
0.62,0.73,1.25,0.21
0.92,0.48,0.72,0.65
0.69,0.68,0.58,0.77
0.7,0.67,0.61,0.74
0.75,0.63,0.67,0.69
0.84,0.55,1.08,0.35
1.36,0.12,0.77,0.61
0.4,0.92,0.44,0.88
0.6,0.75,0.62,0.73
0.51,0.83,0.82,0.57
0.52,0.82,0.5,0.83
0.76,0.62,0.78,0.60
0.54,0.80,0.52,0.82
0.99,0.43,0.9,0.50
0.48,0.85,0.51,0.83
0.74,0.63,0.9,0.50
0.57,0.78,0.76,0.62
0.68,0.68,0.94,0.47
0.71,0.66,0.86,0.53
0.72,0.65,0.82,0.57
0.48,0.85,0.74,0.63
0.83,0.56,0.94,0.47
0.75,0.63,0.77,0.61
0.39,0.93,0.47,0.86
0.36,0.95,0.6,0.75
0.62,0.73,0.98,0.43
0.39,0.93,0.62,0.73
0.45,0.88,0.49,0.84
0.74,0.63,0.9,0.50
0.36,0.95,0.38,0.93
0.63,0.73,0.52,0.82
0.54,0.80,0.65,0.71
0.32,0.98,0.31,0.99
0.39,0.93,0.39,0.93
0.92,0.48,0.67,0.69
0.26,1.03,0.25,1.04
0.54,0.80,0.57,0.78
0.43,0.89,0.36,0.95
0.39,0.93,0.32,0.98
1.1,0.33,1.21,0.24
0.44,0.88,0.62,0.73
0.37,0.94,0.63,0.73
0.68,0.68,0.34,0.97
0.4,0.92,0.41,0.91
1,0.42,0.87,0.53
0.6,0.75,0.51,0.83
0.42,0.90,1.02,0.40
0.63,0.73,0.54,0.80
0.48,0.85,0.52,0.82
0.55,0.79,0.6,0.75
0.78,0.60,0.82,0.57
0.35,0.96,0.25,1.04
0.67,0.69,0.74,0.63
0.52,0.82,0.46,0.87
0.77,0.61,0.81,0.58
0.77,0.61,0.71,0.66
0.51,0.83,0.55,0.79
0.74,0.63,0.46,0.87
0.78,0.60,0.59,0.76
0.56,0.78,0.77,0.61
0.66,0.70,0.84,0.55
0.57,0.78,0.57,0.78
0.43,0.89,0.38,0.93
0.39,0.93,0.52,0.82
0.6,0.75,0.59,0.76
0.53,0.81,0.51,0.83
0.5,0.83,0.71,0.66
0.45,0.88,0.49,0.84
0.71,0.66,0.73,0.64
0.34,0.97,0.33,0.98
0.57,0.78,0.66,0.70
0.51,0.83,0.61,0.74
0.72,0.65,0.86,0.53
0.72,0.65,0.74,0.63
0.78,0.60,0.77,0.61
0.93,0.48,0.69,0.68
0.47,0.86,0.75,0.63
0.6,0.75,0.62,0.73
0.56,0.78,0.51,0.83
0.81,0.58,0.91,0.49
0.68,0.68,0.71,0.66
0.91,0.49,0.63,0.73
1.08,0.35,0.85,0.54
0.66,0.70,0.61,0.74
1.03,0.39,1,0.42
0.53,0.81,0.38,0.93
0.79,0.59,0.95,0.46
0.44,0.88,0.88,0.52
0.58,0.77,0.56,0.78
0.65,0.71,0.78,0.60
0.44,0.88,0.44,0.88
0.76,0.62,0.99,0.43
0.43,0.89,0.44,0.88
0.71,0.66,1.01,0.41
0.63,0.73,0.59,0.76
1.14,0.30,1.04,0.38
0.63,0.73,0.8,0.58
0.63,0.73,0.52,0.82
0.99,0.43,0.85,0.54
0.41,0.91,0.74,0.63
1.03,0.39,0.93,0.48
0.63,0.73,0.6,0.75
0.48,0.85,0.75,0.63
1.01,0.41,0.65,0.71
0.74,0.63,0.79,0.59
0.91,0.49,0.92,0.48
0.72,0.65,0.74,0.63
1.15,0.29,1.55,-0.04
0.47,0.86,0.62,0.73
0.66,0.70,0.66,0.70
0.45,0.88,0.64,0.72
0.35,0.96,0.64,0.72
0.56,0.78,0.68,0.68
0.52,0.82,0.66,0.70
1.02,0.40,1.01,0.41
0.67,0.69,0.69,0.68
0.88,0.52,0.96,0.45
0.74,0.63,0.85,0.54
0.39,0.93,0.38,0.93
0.72,0.65,0.79,0.59
0.69,0.68,0.4,0.92
0.71,0.66,1.78,-0.23
0.7,0.67,0.74,0.63
0.86,0.53,0.81,0.58
0.64,0.72,0.57,0.78
0.72,0.65,0.59,0.76
0.95,0.46,0.9,0.50
0.59,0.76,0.45,0.88
0.75,0.63,1.13,0.31
0.38,0.93,0.53,0.81
0.41,0.91,0.48,0.85
0.4,0.92,0.46,0.87
0.54,0.80,0.51,0.83
0.45,0.88,0.51,0.83
0.33,0.98,0.47,0.86
0.48,0.85,0.39,0.93
0.61,0.74,0.52,0.82
0.67,0.69,0.52,0.82
0.49,0.84,0.75,0.63
0.48,0.85,0.69,0.68
0.55,0.79,0.55,0.79
0.59,0.76,0.59,0.76
0.25,1.04,0.34,0.97
0.42,0.90,0.56,0.78
0.37,0.94,0.51,0.83
0.64,0.72,0.51,0.83
0.86,0.53,0.81,0.58
0.81,0.58,0.65,0.71
