answers_distance,ground_truth_distance
82.29,54.14
147.76,132.72
79.94,108.60
188.26,98.87
46.62,109.51
57.70,54.31
109.56,112.18
101.12,82.81
124.83,121.18
198.20,315.37
75.40,117.20
73.62,56.36
98.65,91.00
76.38,63.34
55.16,56.95
49.11,42.07
232.09,234.06
142.08,194.85
172.44,174.75
89.13,123.80
68.07,67.06
59.75,71.51
69.82,291.83
110.38,125.27
77.79,49.56
65.62,51.40
96.78,99.76
100.73,55.90
92.84,60.29
64.71,54.34
130.38,64.02
61.09,53.65
110.75,120.72
83.59,97.89
105.82,105.26
108.52,137.86
159.27,117.04
121.49,86.10
132.69,112.34
146.85,143.49
71.83,115.99
70.62,80.12
115.57,157.96
48.39,55.32
192.89,160.44
202.47,212.22
94.45,61.07
131.19,89.31
65.40,93.17
87.19,62.45
30.40,91.53
95.75,74.86
139.14,102.95
100.07,82.70
54.67,27.17
143.94,35.55
188.61,80.64
128.35,52.25
187.10,83.55
98.90,37.64
160.58,174.85
72.38,8.99
101.25,175.87
77.83,77.64
72.39,256.15
69.14,73.98
55.73,38.64
95.01,74.40
40.61,61.69
80.93,25.36
210.76,177.73
120.02,98.97
107.38,101.04
87.56,76.28
90.61,66.15
100.03,76.98
185.33,114.97
126.10,115.87
85.31,79.32
58.43,76.97
104.46,112.65
112.69,77.86
195.93,300.88
125.55,187.63
213.82,88.65
112.22,81.32
67.32,63.55
83.05,91.19
177.39,137.53
88.34,400.63
199.20,260.66
121.75,92.95
168.07,154.08
98.53,65.55
134.36,83.40
74.85,117.66
111.90,139.57
34.93,36.87
64.35,89.88
170.78,61.14
76.70,80.69
71.57,78.89
61.58,72.13
83.22,77.22
73.06,63.65
211.07,171.40
48.17,57.84
47.15,58.59
207.31,142.90
188.98,132.96
125.00,48.72
64.42,55.45
118.26,110.41
191.01,294.10
90.60,49.06
53.79,52.91
41.00,46.90
102.34,69.67
201.96,197.79
48.99,35.41
32.24,44.12
168.77,222.09
143.86,68.40
120.54,191.68
49.91,43.05
84.98,59.32
82.15,63.28
62.66,50.13
147.57,137.88
110.15,135.14
164.03,99.37
133.98,119.59
41.07,106.16
112.08,116.79
40.67,135.93
130.55,103.50
114.12,63.16
212.04,207.53
171.74,170.63
255.10,226.92
148.41,188.88
120.37,106.00
163.77,126.35
56.66,62.14
60.36,69.88
49.51,74.34
60.89,39.04
61.52,79.43
87.76,104.04
49.15,60.42
76.73,74.89
42.81,45.51
209.07,77.20
37.56,49.56
75.98,72.34
79.19,68.63
137.16,84.76
95.01,248.12
66.70,26.00
146.93,103.46
54.00,61.20
96.53,123.08
76.53,105.55
74.29,28.30
64.07,55.39
80.09,132.21
118.59,183.83
93.10,81.12
64.55,119.96
59.02,65.94
177.16,185.90
289.43,80.92
69.43,32.35
158.58,18.87
65.86,63.95
129.26,199.24
61.22,57.01
198.84,77.70
71.17,69.11
96.69,104.46
84.64,81.46
69.86,59.13
87.04,91.39
93.12,86.71
33.36,58.02
73.00,57.96
74.93,77.88
144.82,27.18
40.17,45.50
131.15,136.05
133.97,47.81
224.65,44.48
121.18,126.10
64.65,57.87
115.75,140.24
93.99,81.30
101.13,198.63
118.05,98.50
137.51,152.92
71.74,73.31
46.45,39.38
192.55,156.78
82.96,44.96
113.68,131.63
81.97,78.68
240.14,261.67
64.20,64.18
152.76,159.01
95.28,211.68
99.79,147.99
167.86,237.55
41.36,82.49
177.22,47.63
86.73,74.31
74.18,51.71
108.07,85.70
88.77,92.43
57.13,76.07
121.90,149.97
152.99,116.63
87.33,106.73
92.01,100.20
125.27,81.92
66.33,68.74
52.86,82.67
171.28,156.08
91.81,48.78
179.46,153.39
94.63,123.62
86.76,92.96
147.02,58.44
97.26,109.43
