answers_distance,ground_truth_distance
66.46,53.25
95.77,154.46
83.04,115.82
120.18,95.68
44.68,77.39
71.02,66.22
125.90,92.68
91.50,90.20
84.96,125.40
144.22,310.05
84.38,133.42
96.72,68.63
60.39,70.60
65.53,74.91
47.09,39.95
90.10,75.42
315.10,283.14
161.65,132.77
188.86,170.71
92.26,132.07
97.38,69.18
54.57,51.71
96.31,231.69
133.31,145.63
45.30,40.73
83.59,51.80
75.51,74.37
109.25,63.26
55.55,49.05
77.23,53.46
117.43,75.20
68.55,49.13
113.60,126.18
112.64,98.61
119.90,129.72
150.55,113.04
134.34,127.71
188.02,178.51
85.76,67.38
121.48,118.56
63.98,94.14
46.87,53.33
93.32,163.96
77.44,117.23
178.03,187.02
167.04,146.68
122.24,118.57
118.87,113.19
218.98,212.17
80.19,54.83
140.58,189.36
84.35,76.80
91.84,146.43
56.14,56.78
36.18,45.07
110.39,26.16
159.08,129.73
141.72,44.73
234.09,67.14
104.86,39.62
156.17,180.15
96.14,67.20
75.40,169.06
70.74,103.80
101.02,251.05
70.97,72.18
103.81,75.15
76.15,77.62
46.22,51.98
97.32,44.50
128.42,125.31
120.56,106.13
110.48,86.08
100.93,72.61
92.53,37.94
109.04,89.20
154.64,118.51
101.06,119.42
138.35,84.86
52.54,78.87
106.70,99.61
135.28,87.40
92.59,295.43
216.05,223.61
198.82,197.87
164.73,86.98
129.72,83.70
116.79,105.44
174.07,142.37
74.95,421.37
163.58,207.20
108.50,94.43
149.05,115.82
115.15,64.33
111.85,69.17
87.47,122.05
127.10,157.92
48.99,46.12
60.77,71.40
150.72,40.08
117.38,81.57
102.10,75.46
103.54,114.99
84.41,74.15
60.77,53.36
209.27,145.20
47.78,47.05
56.79,57.29
104.86,125.23
170.24,96.97
114.34,44.24
53.53,54.66
60.90,60.29
28.09,137.23
67.80,47.47
72.30,50.82
52.39,68.77
66.98,33.85
46.09,100.28
40.25,31.68
38.56,49.46
59.83,55.48
177.20,98.35
136.71,209.38
54.96,50.27
68.86,46.50
94.03,82.66
62.55,77.18
126.34,117.71
85.38,92.49
170.47,102.89
73.56,106.24
50.37,126.58
116.57,102.93
103.46,192.26
134.60,99.77
54.51,70.39
180.22,168.42
116.27,151.16
144.28,145.47
153.95,173.29
231.29,151.17
179.03,147.75
37.30,37.54
65.41,71.81
103.39,44.75
63.10,55.81
25.25,33.77
81.07,86.76
58.76,71.48
99.46,88.74
42.60,22.12
187.77,91.01
43.19,48.43
98.26,46.47
62.65,33.21
114.71,51.86
84.89,247.69
61.32,23.92
103.80,106.80
132.71,70.41
95.24,99.74
105.96,107.98
78.37,41.03
83.28,58.30
116.85,107.87
150.12,23.99
96.14,83.99
110.72,171.20
57.32,65.25
124.55,151.26
306.21,83.90
47.31,57.07
191.23,26.66
66.00,64.13
101.13,182.81
64.80,49.25
207.70,67.81
82.51,84.62
93.06,98.98
115.56,113.23
55.12,67.84
82.10,88.51
134.50,123.42
47.05,71.30
78.88,44.88
107.17,62.84
141.17,30.10
46.38,45.49
110.40,116.76
147.47,37.83
260.82,106.27
100.88,101.24
97.02,23.77
106.94,152.12
93.22,68.76
88.83,217.93
92.53,93.05
200.33,106.10
57.88,58.97
55.48,40.75
145.40,29.69
63.86,73.25
113.59,122.63
83.75,88.26
197.61,169.34
126.04,108.17
184.09,73.92
93.52,158.13
127.78,97.60
144.52,238.19
39.59,81.47
162.97,42.87
70.90,62.60
51.02,36.96
116.22,92.06
89.42,92.92
58.36,71.04
86.89,103.73
160.72,97.36
73.07,97.46
79.59,89.46
124.06,70.84
109.32,102.44
81.27,94.85
127.28,102.15
78.31,30.57
137.25,143.10
86.90,106.94
96.64,87.87
142.52,59.45
118.82,127.92
