Answer_null_answer,Answer_ground_truth
0.44,0.32
0.88,1.30
0.55,0.68
0.83,0.37
0.21,0.58
0.28,0.27
0.67,0.72
0.60,0.48
0.17,0.42
0.91,0.73
0.24,0.75
0.58,0.48
0.37,0.45
0.36,0.21
0.23,0.25
0.29,0.73
1.27,1.27
1.04,1.48
0.43,0.76
0.20,0.42
0.27,0.22
0.31,0.36
0.16,1.25
0.78,0.76
0.17,0.21
0.45,0.24
0.48,0.42
0.64,0.50
0.33,0.26
0.13,0.18
0.48,0.31
0.29,0.28
0.47,0.69
0.39,0.37
0.28,0.33
0.22,0.72
0.76,0.52
0.28,0.42
0.41,0.52
0.61,0.78
0.64,0.66
0.61,0.69
1.51,1.45
0.36,0.63
0.92,0.70
0.72,0.78
0.70,0.64
0.86,0.87
0.55,0.66
0.24,0.11
0.54,0.62
0.35,0.30
0.59,0.77
0.12,0.15
0.17,0.10
0.51,0.05
0.47,0.49
0.72,0.21
1.30,0.69
0.29,0.20
0.33,0.80
0.61,0.55
0.60,0.74
0.35,0.68
0.45,1.22
0.47,0.22
0.74,0.26
0.18,0.14
0.12,0.14
0.45,0.30
0.36,0.27
0.40,0.25
0.36,0.28
0.31,0.40
0.51,0.33
0.24,0.52
0.30,0.57
0.56,0.71
0.81,0.68
0.92,0.67
0.47,0.55
0.24,0.31
0.28,1.31
0.68,0.52
0.60,0.33
0.30,0.81
0.79,0.34
0.54,0.44
0.68,0.47
0.63,0.43
1.08,1.37
0.37,0.45
0.58,0.52
0.38,0.12
0.40,0.63
0.52,0.37
0.68,0.82
0.14,0.23
0.23,0.29
0.39,0.18
0.38,0.36
0.40,0.57
0.41,0.48
0.76,0.53
0.24,0.26
0.46,0.61
0.19,0.27
0.25,0.29
0.54,0.76
0.74,0.49
0.41,0.10
0.70,0.69
0.38,0.33
0.33,0.83
0.23,0.12
0.23,0.20
0.24,0.38
0.30,0.13
0.43,0.67
0.44,0.40
0.11,0.17
0.89,0.70
0.24,0.37
0.14,1.41
0.31,0.31
0.49,0.47
0.55,0.35
0.44,0.45
0.39,0.46
0.52,0.55
0.94,0.76
0.52,0.52
0.10,0.43
0.69,0.58
0.32,0.37
0.31,0.23
0.22,0.65
0.42,0.45
0.40,0.36
0.54,0.48
0.37,0.61
0.75,0.94
0.61,0.55
0.40,0.33
0.24,0.52
0.17,0.49
0.21,0.15
0.18,0.15
0.11,0.24
0.14,0.25
0.77,0.86
0.24,0.35
1.08,0.92
0.10,0.13
0.21,0.14
0.28,0.18
0.60,0.51
0.14,0.32
0.37,0.10
0.56,0.54
0.47,0.25
0.53,0.49
0.11,0.20
0.35,0.10
0.20,0.15
0.51,0.82
0.48,0.77
0.18,0.32
0.29,0.65
0.58,0.61
0.27,0.27
0.82,0.44
0.18,0.21
0.34,0.01
0.28,0.17
0.75,0.76
0.38,0.12
0.55,0.19
0.20,0.23
0.31,0.40
0.45,0.53
0.60,0.66
0.12,0.11
0.59,0.55
0.25,0.34
0.27,0.17
0.49,0.42
0.63,0.03
0.21,0.31
0.40,0.52
0.35,0.21
0.85,0.31
0.93,0.89
0.34,0.13
0.54,0.61
0.38,0.12
0.41,0.75
0.28,0.15
0.46,0.64
0.34,0.44
0.14,0.05
0.59,0.11
0.30,0.52
0.41,0.58
0.58,0.22
0.76,0.07
0.14,0.10
0.45,0.41
0.73,1.17
0.29,0.14
0.54,0.54
0.48,0.42
0.38,0.13
0.28,0.20
0.36,0.33
0.46,0.43
0.25,0.30
0.29,0.38
0.58,0.23
0.63,0.48
0.53,0.63
0.37,0.57
0.59,0.30
0.48,0.36
0.54,0.63
0.36,0.67
0.32,0.18
0.55,0.77
0.37,0.23
0.64,0.58
0.92,0.17
0.42,0.35
