question,answer,contexts,ground_truth,context_entity_recall
"Despite the diversity among GPCRs, are there similarities in their activation pathways?","According to the provided information, yes, despite the diversity among GPCRs, some structural aspects of receptor activation are broadly similar across class A GPCRs. For example, the contraction of the ligand binding site and the opening of the cytosolic side due to relocation of TM6 are similar features observed in different GPCRs.","['The availability of structures of GPCRs from divergent subgroups (as low as ~20% sequence identity 18) that are bound to chemically diverse ligands and known to couple to different G proteins, allowed us to investigate activation pathways across class A GPCRs. Given that the GPCRs are structurally similar and activate a small set of G proteins, some structural aspects of receptor activation are broadly similar (e.g. contraction of ligand binding site, opening of the cytosolic side due to relocation of TM6). However, receptor activation is mediated by diverse ligands and hence some aspects of ligand-induced GPCR activation must necessarily be receptor-specific. '
 'Diverse activation pathways in class A GPCRs converge near the G protein-coupling region A. J. Venkatakrishnan1,6,*, Xavier Deupi2, Guillaume Lebon3, Franziska M. Heydenreich2,4, Tilman Flock1, Tamara Miljus2,4, Santhanam Balaji1, Michel Bouvier5, Dmitry B. Veprintsev2,4, Christopher G. Tate1, Gebhard F. X. Schertler2,4, and M. '
 'doi:10.1016/j.cell.2019.04.021 ; pmid: 31080070 38. A. J. Venkatakrishnan et al., Diverse activation pathways in class A GPCRs converge near the G-protein-coupling region. Nature 536, 484 –487 (2016). doi: 10.1038/ nature19107 ; pmid: 27525504 39. A. J. Venkatakrishnan et al., Diverse GPCRs exhibit conserved water networks for stabilization and activation. Proc. Natl. Acad. Sci. U.S.A. 116, 3288 –3293 (2019). doi: 10.1073/ pnas.1809251116 ; pmid: 30728297 40. N. R. Latorraca, A. J. Venkatakrishnan, R. O. '
 'Figure 5. Evolutionary history of GPCRs and selectivity determining positions on the receptor. a, Gene duplication model for the evolution of ligand and G protein selectivity of GPCRs. b, Phylogenetic tree representation of the events in the gene duplication model. c, A phylogenetic tree of human Class A, B and C GPCRs showing the G protein-coupling selectivity of each GPCR (Extended Data Fig. 8). The four dots (filled or empty) depict both primary and secondary G protein coupling. ']","Yes, despite the diversity among G-protein-coupled receptors (GPCRs), there are similarities in their activation pathways. The study you referenced identifies key similarities that converge near the G-protein-coupling region of these receptors. Here are the main points:

Converging Activation Pathways: While GPCRs are diverse in their structures and the types of ligands they bind, their activation pathways show a significant convergence near the region where the receptors couple with G proteins.

Conserved Structural Rearrangement: A highly conserved structural rearrangement of residue contacts between transmembrane helices 3, 6, and 7 has been observed. This rearrangement is critical in facilitating the release of residues that contact G proteins, leading to receptor activation.

Functional Implication: The convergence of these activation pathways near the G-protein-coupling region suggests that despite the variety in initial activation steps (triggered by diverse ligands), there is a common mechanism by which these receptors ultimately interact with G proteins. This commonality helps explain how different GPCRs can bind to and activate a shared set of G proteins.

In summary, while the initial activation steps of GPCRs may differ due to their diverse ligands and structural variations, the pathways converge at a critical point near the G-protein-coupling region through conserved structural rearrangements. This convergence is essential for the uniform activation of G proteins across different GPCRs.",0.3333333322222222
What are the residues and their contacts that contribute to the similarities in activation pathways?,"Based on the provided information, it appears that the residues and their contacts that contribute to the similarities in activation pathways are:

* 41 residues (10%): These residues participate in an active state-specific contact and are pharmacologically important, affecting signaling.
* 35 residues (9%): These residues also participate in an active state-specific contact and are pharmacologically important, affecting signaling.

These residues seem to be involved in the allosteric network that translates ligand binding into signaling. The specific contacts and interactions between these residues likely contribute to the similarities in activation pathways.

Please note that this information is based on the provided text and may not represent a comprehensive or exhaustive list of all residues and contacts contributing to the similarities in activation pathways.","['Pharmacological importance Bystanders Passengers Residue participates in an active state-specific contact278 residues 70%41 residues 10% 35 residues 9%Low HighStructural relevance Low High Mutation affects signaling* No effect on signalingModulators **Drivers 41 residues 10%Breceptorlog[ligand]Signal amplitudeOH N HO HOH Adrenaline Gs 12-point concentration- response curves Pharmacologically important residuesActive state-specific contactsAllosteric network Pharmacologically relevant active state-specific contactsGs activation with adrenaline ADecreased potency Decreased efficacy or both IntersectLigand-binding site Conserved motif 1/3 2/3Gs-binding site 9 1'
 'Linking structural changes with pharmacological importance reveals new roles for residues To identify the structural changes relevant for efficacy and potency, we devised an approach to integrate the experimentally determined pharmacological parameters with the active state –specific contacts (Fig. 5A and Materials and methods). We first classified every residue as pharmacologically important (if it affects efficacy, potency, or both when mutated) or Fig. 5. The allosteric contact network for efficacy and potency as determined by structure and pharmacology. '
 'These positions most likely represent receptor- or receptor family –specific switches or allosteric conduits that contribute to trans- lating ligand binding into signaling. Structural changes alone do not specify the pharmacological importance of a residue Because key structural changes have been ex- tensively described as a hallmark of receptor activation ( 14,16,32,33), we investigated how those structural changes are associated with pharmacologically important residues. ']","Conserved Structural Rearrangement: A highly conserved structural rearrangement of residue contacts between transmembrane helices 3, 6, and 7 has been observed. This rearrangement is critical in facilitating the release of residues that contact G proteins, leading to receptor activation. ",0.0
Are these residues conserved and significantly part of certain structural elements?,"According to the provided information, not all highly conserved residues were pharmacologically or structurally important. The role of a residue cannot be predicted from evolutionary conservation alone.

However, it is mentioned that two-thirds of the pharmacologically important residues (55 out of 82) do not map to known functional sites or motifs. This suggests that some conserved residues may play a significant role in certain structural elements, but their importance is not necessarily linked to their conservation across homologs.

Additionally, it is stated that ""key sequence and structural motifs with known functional roles include CWxP, PIF, NPxxY, and DRY"". These motifs are likely to be conserved and play a significant role in certain structural elements. However, the majority of pharmacologically important residues do not map to these known functional sites or motifs.

Therefore, while some conserved residues may be significantly part of certain structural elements, it is also possible that many pharmacologically important residues are not highly conserved across homologs.","['These positions most likely represent receptor- or receptor family –specific switches or allosteric conduits that contribute to trans- lating ligand binding into signaling. Structural changes alone do not specify the pharmacological importance of a residue Because key structural changes have been ex- tensively described as a hallmark of receptor activation ( 14,16,32,33), we investigated how those structural changes are associated with pharmacologically important residues. '
 'A de- tailed analysis of the key motif residues of GPCRs, as well as the most highly conserved positions (x50 positions in each helix) (Mate- rials and methods), accounted for an addi- tional eight residues (10%) (fig. S6). Key sequence and structural motifs with known functional roles include CWxP, PIF, NPxxY, and DRY (where each uppercase letter is an amino acid residue, and each “x”represents any amino acid). However, two-thirds of the pharmacologically imp ortant residues (55 of82 residues) do not map to known functional s i t e so rm o t i f sa n da r eh e n c en o tr e a d i l yi n t e r - pretable. '
 'Low ET scores indicate positions that are highly conserved across homologs. Depending on howthe alignments are constructed, residues with low ET scores can also represent positions that are conserved in a subfamily-specific manner (44–46). Driver residues were the most con- served followed by modulator, passenger, and bystander residues (Fig. 6F). Not all highly conserved residues were pharmacologically or structurally important; hence, the role of a residue cannot be predicted from evolutionary conservation alone. '
 '(E) Quantitative analysis of the ortholog-speciﬁc, paralog-speciﬁc, neutrally evolving, and conserved residues.(F and G) Interaction network between structural elements in RGS and G a. The width of the lines indicates the number of non-covalent contacts. The nodes represent the total number of residue-residue contacts for each structural element. Common residue numbering ( Flock et al., 2015 ) is used to indicate the structural elements in the G asubunit. (H) Quantitative analysis of the number of conserved and non-conserved contacts at the RGS-G abinding interface. '
 'These findings indicate that systematic integration of mutational ef- fects and structural analyses considering ac- tive state –specific residue contacts may help identify and characterize the subset of pharma- cologically important residues that undergo a structural change in this ligand-receptor sys- tem. Notably, it can explain which of the struc-tural changes that happen during activation are relevant for ligand efficacy and potency at the receptor. ']","Conserved Residues: The residues that participate in the activation pathways of GPCRs, especially those near the G-protein-coupling region, tend to be highly conserved across different receptors. This conservation highlights their critical role in the activation process.

Structural Elements: These conserved residues are part of specific structural elements within the GPCRs, particularly the transmembrane helices. The study you referenced specifically mentions transmembrane helices 3, 6, and 7 as being crucial for these structural rearrangements.
",0.16666666638888888
Are there significant rearrangements in the process of activation?,"According to the provided information, yes, there are significant rearrangements in the process of activation. Specifically, it is mentioned that upon activation, ""contacts upon activation becomes apparent"" and that this common rearrangement involves residues in TM3, TM6, and TM7 in all five receptors (Fig. 3). This suggests that there are specific structural changes that occur when the receptors are activated.","['Probing the activation- promoted structural rearrangements in preassembled receptor- G protein complexes. Nature Structural & Molecular Biology 13:778–786. DOI: https://doi.org/10.1038/nsmb1134, PMID: 16906158 Goupil E, Fillion D, Clément S, Luo X, Devost D, Sleno R, Pétrin D, Saragovi HU, Thorin É, Laporte SA, Hébert TE. 2015. Angiotensin II type I and prostaglandin F2alpha receptors cooperatively modulate signaling in vascular smooth muscle cells. The Journal of Biological Chemistry 290:3137–3148. DOI: https://doi.org/10. '
 'Probing the activation- promoted structural rearrangements in preassembled receptor- G protein complexes. Nature Structural & Molecular Biology 13:778–786. DOI: https://doi.org/10.1038/nsmb1134, PMID: 16906158 Goupil E, Fillion D, Clément S, Luo X, Devost D, Sleno R, Pétrin D, Saragovi HU, Thorin É, Laporte SA, Hébert TE. 2015. Angiotensin II type I and prostaglandin F2alpha receptors cooperatively modulate signaling in vascular smooth muscle cells. The Journal of Biological Chemistry 290:3137–3148. DOI: https://doi.org/10. '
 'contacts upon activation becomes apparent. This common rearrangement involves residues in TM3 (3x46), TM6 (6x37) and TM7 (7x53) in all the five receptors (Fig. 3). Importantly, the rearranged contacts are proximal to the G protein-coupling region, and distant from the ligand-binding pocket. This highlights that the diverse structural changes among the receptors, that is stabilized by different ligands converges on a common set of rearrangement near the G protein-coupling region. ']","Yes, according to the study by Venkatakrishnan et al. (2017), there are significant rearrangements in the process of G protein-coupled receptor (GPCR) activation. The study used a combination of structural biology and bioinformatics techniques to investigate the conformational changes that occur in GPCRs upon activation.

The authors found that the activation of GPCRs involves a conserved rearrangement of residue contacts between the inactive and active state structures. Specifically, they identified 117 contacts that are only present in the inactive state, 61 contacts that are only present in the active, G protein-bound state, and 191 contacts that are present in both the inactive and active states.

Furthermore, the study showed that the rearrangement of residue contacts involves a movement of helices 6 and 7 upon activation, which is conserved across diverse class A GPCRs. This movement is thought to facilitate the binding of G protein and the activation of downstream signaling pathways.

Overall, the study demonstrates that the process of GPCR activation involves significant conformational changes in the receptor structure, which are conserved across different GPCRs and are likely to be important for their function.",0.0
Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,"Yes, according to the provided information, different patterns of receptor phosphorylation can lead to distinct conformations of arrestin, which in turn can result in various functional outcomes. The text suggests that different combinations of phosphorylation on receptor residues can induce selective engagement and disruption of specific structural motifs on arrestin, leading to distinct conformational states. These conformational changes may enable arrestin to perform different functions, such as interacting with G proteins or inducing signaling pathways.","['Together, these observations suggest that different combinations of phosphorylation of receptor residues can lead to selective engagement and disruption of each of these structural motifs and thereby introduce distinct conformations of arrestin(Fig. 4). Discussion Different phosphorylation patterns of GPCRs have been suggested to induce arrestin conformations capable of performing distinct functions. Most prominently, a tail engaged and a fully engaged GPCR-arrestin complex have been observed. It has recently been shown that in the ‘tail conformation’, G proteins and arrestins can simultaneously bind to a GPCR 10. Which factors modulate the transition between the tail- and fully-engaged complex is less well understood. '
 'In this analysis, we identified a new arrestin regulatory structural motif that suggests a molecular mechanism by which phosphorylation at different receptor positions by kinases could mediate distinct arrestin conformations. Furthermore, distinct regions on the receptor tail appear to preferentially engage with distinct structural motifs that are characteristic of arrestin conformational states. '
 'However, the mechanism of arrestin activation, and how distinct receptor phosphorylation patterns could induce different conformational changes on arrestin, are not fully understood. Here, we analyze how each arrestin amino acid contributes to its different conformational states. We identify a conserved structural motif that restricts the mobility of the arrestin finger-loop in the inactive state and appears to be regulated by receptor phosphorylation. '
 'Given that these motifs are distributed across the arrestin surface and can be disrupted by phosphorylated residues on the receptor, different GPCR phosphorylation patterns could disrupt them in a combinatorial manner, thereby inducing distinct conformational changes in arrestins. If the receptor carboxyl terminus is phosphorylated Sente et al. Page 7 Nat Struct Mol Biol . Author manuscript; available in PMC 2018 December 05. ']","The activation mechanism of arrestins and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins involve several key steps and molecular interactions. Here's a detailed explanation:

Receptor Phosphorylation:

GPCRs are phosphorylated by G protein-coupled receptor kinases (GRKs) on their intracellular domains, primarily the C-terminal tail and the third intracellular loop.
The pattern and extent of phosphorylation (often referred to as the ""phosphorylation barcode"") vary depending on the specific receptor and the type of ligand that activates the receptor.
Phosphorylation Barcode:

The specific pattern of phosphorylation sites on the receptor acts as a barcode, which is recognized by different regions on arrestins.
This barcode influences the conformation that arrestin adopts when it binds to the phosphorylated receptor.
Binding and Conformational Changes:

When arrestin binds to a phosphorylated GPCR, it undergoes significant conformational changes.
These changes are initiated by the interaction between phosphorylated residues on the receptor and specific domains in arrestin, including the N-domain, C-domain, and inter-domain hinge regions.
Structural Motifs in Arrestin:

A conserved structural motif in arrestin restricts the mobility of the finger loop in the inactive state.
Phosphorylation of the receptor releases this restriction by engaging with specific sites on arrestin, causing the finger loop and other structural elements to shift.
These shifts allow arrestin to transition from an inactive to an active conformation capable of binding to the receptor and downstream signaling proteins.
Micro-locks and Finger Loop:

Arrestin contains several structural motifs, termed ""micro-locks,"" which are selectively engaged by different receptor phosphorylation sites.
Distal and proximal phosphorylation sites on the receptor differentially engage these micro-locks, inducing specific conformational changes in arrestin.
The finger loop, a critical region for arrestin activation, undergoes conformational rearrangement depending on how the micro-locks are engaged.",0.08333333326388888
What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,"According to the provided information, the mechanism of arrestin activation and how distinct receptor phosphorylation patterns induce different conformational changes in arrestins are not fully understood. However, it is suggested that a conserved structural motif on the surface of arrestin restricts the mobility of its finger-loop in the inactive state and appears to be regulated by receptor phosphorylation.

It is also proposed that different combinations of phosphorylation of receptor residues can lead to selective engagement and disruption of distinct structural motifs characteristic of arrestin conformational states. These motifs are distributed across the surface of arrestin and can be disrupted by phosphorylated residues on the receptor, thereby inducing distinct conformational changes in arrestins.

In other words, different patterns of receptor phosphorylation may disrupt specific structural motifs on the surface of arrestin, leading to distinct conformational changes that could potentially perform different functions.","['However, the mechanism of arrestin activation, and how distinct receptor phosphorylation patterns could induce different conformational changes on arrestin, are not fully understood. Here, we analyze how each arrestin amino acid contributes to its different conformational states. We identify a conserved structural motif that restricts the mobility of the arrestin finger-loop in the inactive state and appears to be regulated by receptor phosphorylation. '
 'In this analysis, we identified a new arrestin regulatory structural motif that suggests a molecular mechanism by which phosphorylation at different receptor positions by kinases could mediate distinct arrestin conformations. Furthermore, distinct regions on the receptor tail appear to preferentially engage with distinct structural motifs that are characteristic of arrestin conformational states. '
 'Together, these observations suggest that different combinations of phosphorylation of receptor residues can lead to selective engagement and disruption of each of these structural motifs and thereby introduce distinct conformations of arrestin(Fig. 4). Discussion Different phosphorylation patterns of GPCRs have been suggested to induce arrestin conformations capable of performing distinct functions. Most prominently, a tail engaged and a fully engaged GPCR-arrestin complex have been observed. It has recently been shown that in the ‘tail conformation’, G proteins and arrestins can simultaneously bind to a GPCR 10. Which factors modulate the transition between the tail- and fully-engaged complex is less well understood. '
 'Given that these motifs are distributed across the arrestin surface and can be disrupted by phosphorylated residues on the receptor, different GPCR phosphorylation patterns could disrupt them in a combinatorial manner, thereby inducing distinct conformational changes in arrestins. If the receptor carboxyl terminus is phosphorylated Sente et al. Page 7 Nat Struct Mol Biol . Author manuscript; available in PMC 2018 December 05. ']","Arrestin activation is primarily triggered by the phosphorylation of G protein-coupled receptors (GPCRs) by G protein-coupled receptor kinases (GRKs). Upon ligand binding, activated GPCRs recruit GRKs, which phosphorylate specific serine and threonine residues on the receptor's intracellular domains. This phosphorylation creates binding sites for arrestins. The binding of arrestins to phosphorylated GPCRs induces a conformational change in arrestins, transitioning them from an inactive to an active state. This activation process involves the rearrangement of arrestin domains, particularly the movement of the C-terminal tail and the disruption of the polar core region.

Different patterns of receptor phosphorylation can induce distinct conformational changes in arrestins due to the differential recruitment and binding of arrestin isoforms. Each arrestin isoform has unique structural features that dictate its interactions with phosphorylated receptors. Variations in the number and arrangement of phosphorylated residues on the receptor's intracellular domains influence the binding affinity and orientation of arrestins, leading to diverse conformational changes. These conformational changes not only determine the affinity of arrestins for GPCRs but also govern their ability to engage downstream signaling partners and regulate various cellular responses, including receptor desensitization, internalization, and alternative signaling pathway activation. Thus, the interplay between receptor phosphorylation patterns and arrestin conformational dynamics contributes to the specificity and versatility of arrestin-mediated signaling.",0.08333333326388888
Is there any preference for the phosphorylation of regions in receptors?,"According to the provided information, distal and proximal receptor phosphorylation sites appear to selectively engage with distinct arrestin structural motifs (i.e., micro-locks) to induce different arrestin conformations. This suggests that there may be a preference or specific pattern for the phosphorylation of certain regions in receptors, which can influence the downstream signaling outcomes.","['phosphorylation-sensitive structural elements to drive distinct arrestin conformation and functional outcomes. Introduction Arrestins are a family of proteins crucial for cellular signaling and regulation of G protein- coupled receptors (GPCRs), the largest class of human membrane protein receptors 1. '
 'Distal and proximal receptor phosphorylation sites appear to selectively engage with distinct arrestin structural motifs (i.e. micro-locks) to induce different arrestin conformations. '
 'DOI: https://doi.org/10.1021/ci100436p, PMID: 21323318 Miess E, Gondin AB, Yousuf A, Steinborn R, Mösslein N, Yang Y , Göldner M, Ruland JG, Bünemann M, Krasel C, Christie MJ, Halls ML, Schulz S, Canals M. 2018. Multisite phosphorylation is required for sustained interaction with GRKs and arrestins during rapid μ-opioid receptor desensitization. Science Signaling 11:eaas9609. DOI: https://doi.org/10.1126/scisignal.aas9609, PMID: 30018083 Moreno- Galindo EG, Alamilla J, Sanchez- Chapula JA, Tristani- Firouzi M, Navarro- Polanco RA. 2016. ']","C-terminal Tail: The cytoplasmic C-terminal tail of GPCRs is a major site for phosphorylation. This region often contains multiple serine and threonine residues that can be phosphorylated by G protein-coupled receptor kinases (GRKs) and other kinases.

Third Intracellular Loop: The third intracellular loop (ICL3) is another critical region that undergoes phosphorylation. Like the C-terminal tail, it contains serine and threonine residues that are accessible to kinases.",0.1999999996
How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,"According to the provided information, three structural motifs can induce conformational change on arrestin upon interaction with the phosphorylated receptor tail:

1. **Three-element interaction**: This motif is specific to a particular state and important for conformation-specific arrestin function.
2. **Polar core**: This motif represents the conserved structural scaffold of the arrestin fold, which is shared among all active and inactive arrestins.
3. **Finger-loop lock**: This motif allows for variable contacts that are unique to each protein structure.

These motifs interact with phosphorylation sites on the receptor tail, inducing conformational changes in arrestin that enable its recruitment by the receptor. The conserved interaction sites in arrestins include these three structural motifs, which play a crucial role in mediating interactions between arrestins and phosphorylated receptors.","['active and inactive) and hence represent the conserved structural scaffold of the arrestin fold, (2) unique to a particular state and thus important for conformation-specific arrestin function, and (3) variable contacts that are unique to each protein structure (Fig. 2c). This dataset (Supplementary Data Set 3) offers a comprehensive, quantitative characterization of all available arrestin structures and sequences, and can be used to address multiple questions, such as uncovering the structural differences between visual and non-visual arrestins at the molecular level. '
 'Figure 4. Analysis of arrestin residues that interact with receptor-attached phosphates. Three structural motifs (bottom – three-element interaction; middle – polar core; top – the here identified finger-loop lock) can induce conformational change on arrestin upon interaction with the phosphorylated receptor tail. '
 'DOI: 10.1038/nature12120 [PubMed: 23604254] 15. Shukla AK, et al. Visualization of arrestin recruitment by a G-protein-coupled receptor. Nature. 2014; 512:218–222. DOI: 10.1038/nature13430 [PubMed: 25043026] 16. Kang Y , et al. Crystal structure of rhodopsin bound to arrestin by femtosecond X-ray laser. Nature. 2015; 523:561–567. DOI: 10.1038/nature14656 [PubMed: 26200343] 17. Zhou XE, et al. Identification of Phosphorylation Codes for Arrestin Recruitment by G Protein- Coupled Receptors. Cell. 2017; 170:457–469 e413. ']","Phosphorylated sites on the receptor tail act like recognition tags for arrestins. These negatively charged phosphate groups interact with positively charged pockets on the surface of arrestins.  While the specific sequence of phosphorylated residues can vary,  arrestins contain conserved clusters of positively charged amino acids that serve as general phosphate sensors.  Imagine the phospho-sites as bumps on a key, fitting into designated grooves (conserved charged pockets) on the arrestin surface.  This interaction triggers a conformational change in arrestin, but the specific details of the shift depend on the exact number, spacing, and location of the phosphorylated residues.  In essence, the interplay between conserved arrestin pockets and the unique phospho-barcode dictates the tailored fit and function of arrestin in the signaling pathway. ",0.0
"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?","According to the provided abstract, yes, it is revealed that there exists a ""selectivity barcode"" (i.e., patterns of amino acids) on each of the 16 human G proteins that is recognized by distinct regions on the ~800 human receptors. This allows researchers to infer specific positions in any human G α protein of interest and understand how the receptor recognizes the G α selectivity barcode.","['Madan Babu1,* 1MRC Laboratory of Molecular Biology, Francis Crick Avenue, Cambridge CB2 0QH, UK 2Fitzwilliam College, Cambridge, CB3 0DG, UK 3Department of Drug Design and Pharmacology, University of Copenhagen, Jagtvej 162, 2100 Copenhagen, Denmark Abstract The selective coupling of G protein-coupled receptors (GPCRs) to specific G proteins is critical to trigger the appropriate physiological response. However, the determinants of selective binding have remained elusive. Here, we reveal the existence of a selectivity barcode (i.e. patterns of amino acids) on each of the 16 human G proteins that is recognised by distinct regions on the ~800 human receptors. '
 'In this manner, researchers can be liberal or conservative in inferring such positions in any human G α protein of interest. Recognition of G α barcode by GPCRs Selectivity in protein interactions is achieved by non-covalent contacts between residues of interacting proteins 26. To understand how the receptor might recognise the G α selectivity barcode, we analysed 21,27,28 the inter- and intra-protein non-covalent contact networks of the β2AR-G αs structure 15. '
 'For instance, replacement of the five C- terminal amino acids in H5 (which contain three selectivity-determining positions) of Gαq23 or Gαs24,25 with corresponding residues from G αi changed the receptor selectivity profile tothat of G αi. Overall, our approach makes use of all available sequence, structural, and comprehensive biochemical data to infer selectivity determinants (“selectivity barcode”) on each of the 16 G protein (Fig. 3d). Using the CGN numbering system, we map this information onto a snake-like diagram for each of the 16 different G α proteins. We present an interactive web resource that highlights these selectivity determining positions through a user-determined cut-off value. ']","Definition:

A selectivity barcode refers to distinct patterns of amino acids on G proteins that are recognized by specific regions on GPCRs. These patterns allow for selective binding and activation of G proteins by their corresponding receptors.
Universally Conserved Positions:

Certain positions within the G-protein barcode are universally conserved across different G proteins. These conserved residues enable a basic level of interaction necessary for the binding and activation of G proteins by GPCRs.
Unique Positions:

In addition to the conserved residues, there are unique positions within the barcode that vary among different G proteins. These unique residues are responsible for the specific recognition by different GPCRs, allowing for selective coupling.",0.16666666638888888
Which residue positions in the barcode are universally conserved? ,"According to the text, the universally conserved position is defined as a residue position that is ""conserved in paralogs and orthologs of a subtype"" with at least 80% conservation among the orthologs and paralogs.","['These positions most likely represent receptor- or receptor family –specific switches or allosteric conduits that contribute to trans- lating ligand binding into signaling. Structural changes alone do not specify the pharmacological importance of a residue Because key structural changes have been ex- tensively described as a hallmark of receptor activation ( 14,16,32,33), we investigated how those structural changes are associated with pharmacologically important residues. '
 'Here, we used a conservative cut-off (Supplementary Data; The user has an option to change the cut-offs to identify such positions in any G protein through the GPCRdb resource; e.g. for GNAS2 http://www.gpcrdb.org/signprot/gnas2_human/ ). This led to the identification of residue positions in the alignment for each of the 16 G proteins that are (a) conserved in paralogs and orthologs of a subtype (universally conserved position; at least 80% conservation among the orthologs and the paralogs), (b) conserved among the orthologs of a Gα subtype but variable among the human paralogs (selectivity determining residue; 80% Flock et al. '
 'To infer positions that are under differential functional constraints (Fig. 3a; highly conserved residues, sub-type specifically conserved, neutrally evolving residues and paralogs-specifically conserved positions) 20 for a G protein, the 16 G α ortholog alignments were first cross-referenced to the paralog alignment using the CGN numbering system. '
 'Figure 3. Conserved rearrangement of residue contacts between inactive and active state structures of GPCRs. Considering the conserved residue contacts in the inactive (left) and the active (right) states together reveals a conserved rearrangement of residue contacts in all the five receptors. The cartoons show a schematic representation of the contacts at the secondary structure level (inter-helical) and the residue level (inter-residue). ']","Universally Conserved Residue Positions in G Proteins
P-loop (Phosphate-binding loop) / Walker A Motif:

Glycine (G): Typically found in the P-loop, glycine residues contribute to the flexibility needed for binding GDP and GTP.
Lysine (K): Often located within the P-loop, this residue is essential for coordinating the phosphate groups of the nucleotide.
Example: Glycine at position 60 (Gly60) in G_ subunits.
Switch I Region:

Threonine (T) or Serine (S): These residues interact with the phosphate groups of GTP, playing a critical role in the conformational changes during GTP binding and hydrolysis.
Example: Threonine at position 35 (Thr35) in G_ subunits.
Switch II Region:

Aspartate (D): Part of the DXXG motif, which is crucial for GTP hydrolysis.
Glycine (G): Within the DXXG motif, providing flexibility for the switch region movements.
Example: Aspartate at position 136 (Asp136) in G_ subunits.
Switch III Region:

Hydrophobic Residues: Residues like leucine (L) or isoleucine (I) that help maintain the structural integrity during activation.
Example: Conserved hydrophobic residues in this region can vary, but are generally present to stabilize the structure.
Nucleotide Binding Site (Walker B Motif):

Magnesium Ion Coordinating Residues: Typically involves a conserved aspartate (D) or glutamate (E) that coordinates the magnesium ion required for nucleotide binding.
Example: Aspartate residues involved in coordinating Mg2+ in the nucleotide-binding pocket.
GTPase Domain:

Glutamine (Q): Important for catalyzing the hydrolysis of GTP to GDP.
Example: Glutamine at position 61 (Gln61) in G_ subunits.
Functional Importance
Structural Integrity: Conserved residues ensure the G protein maintains its correct folding and stability.
Nucleotide Binding and Hydrolysis: These residues are directly involved in binding GDP/GTP and catalyzing the hydrolysis of GTP, which is critical for the G protein's role as a molecular switch.
Interaction with GPCRs and Effectors: Conserved residues facilitate the interaction between G proteins and their respective GPCRs and downstream effectors, ensuring accurate signal transduction.
Examples of Specific Universally Conserved Residues in G_ Subunits
Gly60: Located in the P-loop, essential for phosphate binding.
Thr35: Located in Switch I, interacts with the _-phosphate of GTP.
Asp136: Located in Switch II, part of the DXXG motif crucial for GTP hydrolysis.
Gln61: Located in the GTPase domain, catalyzes GTP hydrolysis.",0.049999999975
