mean_distance_best_1,relevance_score_best_1,mean_distance_n_best_1,relevance_score_n_best_1,ground_truth_distance_best_1,mean_distance_best_2,relevance_score_best_2,mean_distance_n_best_2,relevance_score_n_best_2,ground_truth_distance_best_2
164.52,0.75,84.95,92,54.14,0.61,0.74,0.53,97,0.32
155.19,0.77,142.67,79,132.72,0.65,0.7,0.67,83,0.98
240.38,0.58,151.87,77,108.6,0.89,0.51,0.85,65,0.73
236.36,0.59,173.17,73,98.87,1.04,0.38,0.85,65,0.33
89.75,0.91,83.94,92,109.51,0.49,0.84,0.44,106,0.68
87.03,0.92,70.55,95,54.31,0.42,0.9,0.37,113,0.24
204.16,0.66,143.58,79,112.18,0.99,0.43,0.88,62,0.79
135.59,0.81,77.02,94,82.81,0.71,0.66,0.46,104,0.42
104.83,0.88,81.18,93,121.18,0.48,0.85,0.41,109,0.47
244.72,0.57,209.06,65,315.37,0.87,0.52,0.79,71,1.13
166.96,0.74,95.14,90,117.2,0.58,0.77,0.43,107,0.69
161.15,0.75,106.51,87,56.36,0.65,0.71,0.48,102,0.23
185.12,0.7,96.86,90,91,0.78,0.6,0.46,104,0.54
140.64,0.8,97.68,89,63.34,0.63,0.72,0.51,99,0.23
137.04,0.81,96.2,90,56.95,0.63,0.73,0.57,93,0.21
188.16,0.69,102.92,88,42.07,0.78,0.6,0.66,84,0.53
301.21,0.44,257.39,54,234.06,1.09,0.34,1.25,25,1.3
254.44,0.55,179.02,71,194.85,1.04,0.38,0.78,72,1.04
284.99,0.48,189.48,69,174.75,1.09,0.34,0.96,54,0.94
202.36,0.66,111.15,86,123.8,0.58,0.76,0.62,88,0.44
146.63,0.79,92.82,90,67.06,0.49,0.84,0.5,100,0.26
159.52,0.76,101.39,89,71.51,0.75,0.62,0.78,72,0.39
218.92,0.62,157.92,76,291.83,1.05,0.37,0.83,67,1.3
209.87,0.64,161.03,75,125.27,0.88,0.52,0.96,54,0.66
120.39,0.84,94.02,90,49.56,0.5,0.84,0.46,104,0.35
148.07,0.78,97.82,89,51.4,0.64,0.72,0.5,100,0.37
168.47,0.74,102.2,88,99.76,0.64,0.72,0.47,103,0.44
