all-MiniLM-L6-v2,all-MiniLM-L12-v2,multi-qa-MiniLM-L6-cos-v1,all-mpnet-base-v2,multi-qa-mpnet-base-dot-v1,paraphrase-albert-small-v2
0,0,0,0.249999999,0.499999999,0.249999999
0.285714285,0,0.285714285,0.142857143,0,0.428571428
0.375,0.125,0.125,0.375,0,0.375
0.043478261,0.043478261,0.086956522,0.086956522,0,0.086956522
0,0,0.399999999,0.399999999,0,0.399999999
0.166666666,0.166666666,0.333333333,0.333333333,0.166666666,0
0,0,0,0,0,0
0,0,0,0.166666666,0,0
0.125,0,0.25,0.125,0,0
0,0.2,0.2,0,0.2,0
0.499999999,0,0.499999999,0.125,0,0.499999999
0,0,0,0,0,0
0.555555555,0.666666666,0.666666666,0.666666666,0,0.666666666
0,0,0,0,0,0
0.666666664,0.666666664,0.666666664,0.666666664,0.666666664,0.666666664
