title,text,start,end
NCI Cancer Research Data Commons,- then so Wow let me first say that it's nice to be back with this group even if it's only virtually I used to help Jayden and Wendy select the Big Data interagency work group but it's been a few years and and so it's a pleasure to be able to talk with you guys again so I've I've been at the National Cancer Institute for nine months which makes me qualified to talk about anything related ,0.03,38.76
NCI Cancer Research Data Commons,to cancer research of course but I had a pretty long history and biomedical data science and so this is just sort of a new activity and engagement for me which is both challenging and fun and I'm in the Center for biomedical informatics and information technology at the NCI which technically resides in the offices director and we try to do both all of the IT from help desk got up to ,35.13,70.409
NCI Cancer Research Data Commons,bioinformatics or intramural researchers at NCI as well as all the data science related activities for extramural work at MCI so and let me just say if you have questions as I go along feel free to ask and hopefully we'll have some time for discussion at the end so I'm going to try to give you a little background about what's led to the creation of a cancer research data ,67.229,98.61
NCI Cancer Research Data Commons,Commons most of that resides in what's called a cancer data ecosystem and then I'll tell you where we are in terms of planning and implementation of that data Commons I'll say that about some activities that will hopefully keep us more integrated and interoperable and I'll invite us talking a bit about what we're doing with the collaboration and coordination so the National cancer data ,95.97,130.44
NCI Cancer Research Data Commons,ecosystem really was initiated with what's called the Beau Biden cancer moonshot and 20:16 which has three overarching goals one is to accelerate the pace of progress and cancer research prevention and care to foster cooperation across different sectors from academia to government to industry and three most importantly for this talk is to enhance ,127.409,159.75
NCI Cancer Research Data Commons,data sharing so there was the formation of a blue-ribbon panel which nine months later issued a set of ten recommendations which are listed there the full report which is actually pretty interesting is at that bottom URL cancer.gov slash PRP and again I will focus only on the one that appears in red there which is a national cancer data ecosystem but all of the other ,156.75,187.14000000000001
NCI Cancer Research Data Commons,elements of those recommendations are in the process of being implemented as well from immunotherapy to Uncle proteins to biospecimens to a human tumor so really most of that is being carried out through XP or old Branson on the national cancer data ecosystem has an overarching goal of enabling all participants which is not restricted to researchers it includes patients and ,183.829,219.889
NCI Cancer Research Data Commons,providers to be able to contribute access analyze different data sets so the recommendations were trying to create that type of ecosystem include making better use of cloud computing platforms to develop the underlying infrastructure and portals to create the services that can link different types of data those are only some examples clinical imaging genomics to either make ,216.359,250.919
NCI Cancer Research Data Commons,use of or to develop the standards and tools that are needed to make data interoperable and to address that sort of elephant in the room hopes of sustainability and government so it's important to note that that ecosystem is much bigger than NCI that the cancer research data comments is really just one piece of that larger data ecosystem there's a lot on this ,248.549,279.36
NCI Cancer Research Data Commons,slide basically it's intended to represent what I just said that that cancer data ecosystem is much more than NCI alone the core this slide the center of the slide those four colored circles are taken from that blue and panel report that I referred to before so I will just basically try to walk you through a little bit of this if you start the top that top circle consists ,276.93,306.63
NCI Cancer Research Data Commons,of curated knowledge bases and data repositories that you go around that core in a clockwise direction they're essentially decision support tools and services for clinicians on the right-hand circle support tools and services for patients at the bottom tools and services for researchers on the left so those are just intended to represent the three types of ,304.71,334.259
NCI Cancer Research Data Commons,contributors and users of a cancer data ecosystem and all of the services and tools that enable them to make use of it and then surrounding that those four circles are really just some examples not it's not all-inclusive of some of the other programs that contribute to a cancer data ecosystem the American Society for cancer research for example supports what's called Deenie which is a ,331.31,362.88
NCI Cancer Research Data Commons,genomics evidence neoplasia information exchange that contains both genomics as well as clinical data orion oncology research information exchange network is composed of a group of cancer centers that try to match patients to targeted treatments ASCO which is the American Society for Clinical Oncology has a database called cancer link which is very useful for ,360.24,393.12
NCI Cancer Research Data Commons,clinical care providers Sears and NCI program surveillance genealogy and results that contains a lot of registry information on the state level and so if you went on around there just a number of different activities all of which work together and with which NCI works they try to create this cancer data ecosystem I might just point out that there is a ,389.18,418.78
NCI Cancer Research Data Commons,NCI information informatics technology for cancer research activity which is a grant program that mostly supports software development for analytics they're also a set of what we refer to as cloud resources which are shown in the upper left here and I will say more about those those are seven bridges genomics Road and that the Institute for systems biology and NCI has always ,415.24,446.26
NCI Cancer Research Data Commons,supported a genomic data Commons about which I will also say a bit more so those are sort of the two underpinnings for establishing a cancer research data Commons and again that's just one more element within this constitution of constellation of an ecosystem okay so let me move along to what we're trying to do to establish a cancer research data Commons so the basic idea of data ,443.86,476.349
NCI Cancer Research Data Commons,Commons I'm sure everybody is already pretty familiar with this if they try to co-locate the data storage and compute with all the services the tools the applications who are sharing and analyzing data and so the diagram on the right depicts what we have in mind for a cancer research data Commons I will try to step you through all of the components of this but basically what ,474.789,503.5
NCI Cancer Research Data Commons,we're thinking of is a set of what we call domain-specific nodes within a cloud environment so our initial course I or proteomic genomic and imaging nodes but in the future there may well be others such as Meo oncology clinical biomarkers etc so the Commons also contains all the resources needed for searching analyzing visualizing interoperating across those different ,501.52,534.38
NCI Cancer Research Data Commons,data types and we constructing what we call a data Commons framework which is intended to provide a set of core operating principles as well as components that can be deployed across all of those data nodes so that's just sort of a brief touch upon all elements within the data comments and again I will try to delve into each of those a bit more the goals of the NCI ,532.089,565.0699999999999
NCI Cancer Research Data Commons,cancer research data Commons are pretty straightforward I think they're to enable the cancer research community to share different data types about different programs and different institutions and to provide easier access to those data regardless of where they may be localized to provide mechanisms for tool discovery access and usage to enable NCI data coordinating ,563.39,590.8399999999999
NCI Cancer Research Data Commons,centers to sustain and to share their data publicly when they are ready to do so and to develop that set of reusable components which we refer to as a data Commons framework not only for the purpose of this cancer research data Commons but to enable the community to use that to build other data Commons these are just again some examples of the types of data sources which may ,587.39,620.03
NCI Cancer Research Data Commons,contribute to the cancer research data Commons TCGA is the Cancer Genome Atlas which contains genomic data from about the 33 types of cancer and about has about two apps petabytes of data at this point target is a similar set of data focused on childhood cancers there are also genomic data from foundations such as foundation medicine or multiple myeloma Research Foundation there is a ,617.96,653.57
NCI Cancer Research Data Commons,large set of data from the clinical proteomic to more analysis consortium which is about a 7 year old program supported by NCI similarly the cancer imaging archives contains a large set of both radiology as well as potala data eventually but I would say we're not well we are not here yet we are but there will there will be the option for cancer centers as well as ,651.44,681.4200000000001
NCI Cancer Research Data Commons,individual labs to contribute data to the data Commons and NCI is engaged in a number of collaborative programs such as Apollo which is with DoD and the VA or the International Cancer Pro yogena consortium both of which contribute proteomics as well as genomic data so again those are just the examples that's not an all-inclusive list but but the point of that really is just to convey ,678.689,709.1990000000001
NCI Cancer Research Data Commons,the idea there's a large amount of already existing data which the Cancer Research data Commons can try to make more available and more interoperable or cancer researchers okay so I mentioned this beta commons framework and often that's just sort of confusing jargon the people because some of it is that you know sort of intangible and it's not something you can easily put your finger ,706.439,743.519
NCI Cancer Research Data Commons,on for example that basically it's intended to develop a set of core operating principles and provide some reusable modular components it can be utilized across the data Commons so those components are listed here in the bottom half of that slide so a more common approach to authentication and authorization is meant to try to minimize the effort for users to switch ,740.429,774.239
NCI Cancer Research Data Commons,among cloud providers the effort for users will switch among cloud resources so that their work can become more seamless and similarly we are trying to agree upon some common or minimal metadata and data models that will enhance interoperability and analysis across diverse datasets and we're also designing the access services the index and in search the portals pipelines and ,771.389,801.36
NCI Cancer Research Data Commons,workspaces that can be flexible and assemble them to different data environments so all our actives will be used within this cancer research data Commons to set up different data Commons nodes and again as I mentioned the community at large can leverage or make use of that to build other data Commons so this so some of this as a framework has already been implemented ,798.629,832.6999999999999
NCI Cancer Research Data Commons,by a number of different data Commons and they formed what they refer to as a commons alliance just some of the members of which are listed on the left-hand of this slide so those include the NCI genomic data Commons in this NCI cancer research data Commons most most of that work is carried out at the University of Chicago NIH all of us program and the times eckleburg ,830.76,859.649
NCI Cancer Research Data Commons,initiative human cell at lux and so the diagram on the right depicts the basic architecture of what they refer to as a data bias here and if you start at the bottom that basically consists of a number of cloud providers and data assets so those are really just the storage and the access control for data on top of that resides a set of frameworks services which control access ,855.75,888.149
NCI Cancer Research Data Commons,to data and expose the data via standardized API and then there's a set of indexing and search capabilities to make it easier for researchers to find the data of workspaces you know which is sort of like an vertical sandboxes of analytical engines which allow users to deploy workflows and repositories for sharing those workflows and then there can also be more specialized portals and ,885.329,917.48
NCI Cancer Research Data Commons,interfaces to support other use cases Allen question yes this is designated the cloud one two three four things that you have there are they suppose are they the actual sort of big public cloud providers or how are those defined another some notion so you know how do you certify somebody to be a cloud provider okay so the next slide lists some of those cloud ,913.92,947.17
NCI Cancer Research Data Commons,providers on the left-hand column I'm sure you're familiar with goes yeah okay so yes there are a number of criteria that the cloud providers have to meet in order to store biomedical research data some of this is so most of the imaging data for example is open and public data much of the genomic data is what's called controlled access but there have to be a number of business compliant ,943.18,987.34
NCI Cancer Research Data Commons,regulations for example that are met and in order for those cloud providers to store that type of controlled access data that that help yeah yeah okay thanks it's a pretty yeah it's a lot of complicated legal interaction right okay okay so this is really just another depiction of what I've already shown you so really as you can see of the basic storage and the services for importing ,985.12,1022.53
NCI Cancer Research Data Commons,cleaning curating that data exists there are the left-hand side and and so those are all of the services that enable data submission the framework services are in this what is referred to as narrow middle architecture and those consists as I mentioned of authorization and authentication some approaches to metadata and data models and likewise some common approaches to workflows ,1019.65,1051.9299999999998
NCI Cancer Research Data Commons,containers and workspaces so those those are really just intended to be shared components that enable any type of data Commons to get up and running and then on the right-hand column is where the analysis the integration can place so again those all of those services on both words of data in and under where it says science out can be more specialized and developed for any ,1048.45,1083.66
NCI Cancer Research Data Commons,purpose that a research or group wishes the NCI is actually pretty lucky to have a nice solid foundation to begin to create the cancer research data Commons that foundation consists of two key elements one is the NCI genomic data Commons which has existed at the University of Chicago for about four years now and so that does house genomic and clinical data from a number of ,1079.05,1115.47
NCI Cancer Research Data Commons,cancer research programs which are shown in this left-hand column it contains and it's harmonized over eight petabytes of data for more than 40 projects and makes those data more widely available and so then the middle column really just describes what how the genomic data Commons functions so it supports receipt quality control integration storage and redistribution of standardized genomic ,1113.25,1146.88
NCI Cancer Research Data Commons,data sets and it harmonizes the raw sequence data to generate derived genomic data and by carrying out that type of work the GDC helps to support the expansion of what we refer to as precision medicine and to cancer research the other I would say groundwork on which a cancer research data Commons was being built is what we refer to as cloud ,1143.88,1180.2
NCI Cancer Research Data Commons,resources these are likewise about four years old now and they were initiated to try to try to move away from that model where everybody had this download very large data sets and carry out the individual analyses upon those so the idea was to try to broaden the access the genomic and related data to create a more cost-effective method to provide scale role compute so those cloud ,1176.33,1208.429
NCI Cancer Research Data Commons,resources provide access to large denotes genomic data sets without any need to download those the ability for researchers to bring their own tools and their own data to work with and the workspaces to both share and save and analyze their data and the results they're up and they do all that while meeting very strict federal security guidelines and those cloud resources ,1206.029,1235.82
NCI Cancer Research Data Commons,that is I mentioned a bit earlier in the upper right resides at seven bridges genomics that's abroad into the Institute for systems biology so our vision for cancer research data Commons is a virtual expandable infrastructure that supports collaboration among researchers clinicians patients computational scientists and tool developers and it houses these broad ,1233.719,1268.82
NCI Cancer Research Data Commons,base the nodes for multiple data types which initially include genomic imaging and proteomics and in the future there may be other types as well so that genomics data node is built upon the foundation of the GDC which provides some means of data submission user interfaces and visualization tools what we refer to as as is genomics which is really a more ,1265.7,1298.46
NCI Cancer Research Data Commons,raw genomic data that is yet to be harmonized and so that is similar principle to what is called the sequence read archive within DB gap which is a large NIH database of genotypes and phenotypes the cloud resources provide more of the search compute and analytical resources as well as a way for researchers to use their own data and tools and that data Commons ,1296.479,1327.98
