mean_distance_question,mean_distance_answer,QRS,ACRS,correctness
0.79,0.46,0.63,0.74,1
0.94,1.06,0.54,0.41,1
1.08,0.758,0.45,0.58,0
0.39,0.272,0.88,0.85,0
0.41,0.178,0.87,0.9,0
0.58,0.414,0.76,0.77,0
0.62,0.336,0.74,0.81,0
0.85,0.533,0.59,0.71,0
0.77,0.617,0.64,0.66,0
0.58,0.437,0.76,0.76,0
0.72,0.717,0.68,0.6,0
1.31,0.993,0.31,0.45,0
1.07,0.84,0.46,0.53,0
1.19,0.965,0.38,0.46,0
0.71,0.522,0.68,0.71,1
0.52,0.479,0.8,0.73,0
0.73,0.573,0.67,0.68,0
0.93,0.41,0.54,0.77,0
1.02,0.721,0.49,0.6,0
0.44,0.323,0.85,0.82,1
0.53,0.251,0.79,0.86,0
0.61,0.592,0.74,0.67,0
0.7,0.516,0.69,0.71,1
0.7,0.661,0.69,0.63,0
0.53,0.501,0.79,0.72,0
0.75,0.579,0.66,0.68,0
0.61,0.53,0.74,0.71,0
0.73,0.484,0.67,0.73,0
0.83,0.626,0.61,0.65,0
0.81,0.497,0.62,0.72,1
0.52,0.751,0.8,0.58,0
0.65,0.561,0.72,0.69,0
0.63,1.107,0.73,0.38,1
0.67,0.658,0.71,0.63,0
0.68,0.649,0.7,0.64,1
0.66,0.626,0.71,0.65,1
0.59,1.46,0.76,0.19,0
0.57,0.683,0.77,0.62,1
0.64,1.397,0.73,0.22,0
0.62,0.597,0.74,0.67,1
0.48,0.372,0.83,0.79,1
0.56,0.485,0.78,0.73,1
0.66,0.698,0.71,0.61,0
0.64,1.568,0.73,0.13,1
0.69,0.474,0.69,0.74,0
0.55,0.537,0.78,0.7,0
0.66,0.385,0.71,0.78,1
0.97,0.764,0.52,0.58,1
0.62,0.666,0.74,0.63,1
0.58,0.338,0.76,0.81,0
0.65,0.572,0.72,0.68,0
1.34,0.622,0.29,0.66,1
0.78,0.609,0.64,0.66,0
0.77,0.574,0.64,0.68,1
0.85,0.386,0.59,0.78,0
0.69,0.651,0.69,0.64,0
0.8,0.588,0.63,0.67,1
0.74,0.4,0.66,0.78,0
0.87,0.812,0.58,0.55,1
0.7,0.44,0.69,0.76,0
0.71,0.309,0.68,0.83,0
1.2,0.614,0.38,0.66,1
0.64,0.491,0.73,0.73,0
0.64,0.449,0.73,0.75,0
0.84,0.725,0.6,0.59,1
1.07,0.673,0.46,0.63,1
1.14,0.474,0.41,0.74,1
0.67,0.317,0.71,0.82,0
0.89,0.451,0.57,0.75,0
1.08,0.629,0.45,0.65,1
0.79,0.916,0.63,0.49,1
1.13,1.17,0.42,0.35,1
1.16,0.7,0.4,0.61,1
0.44,0.299,0.85,0.83,0
0.8,0.482,0.63,0.73,1
0.83,0.545,0.61,0.69,1
0.66,0.54,0.71,0.7,1
1,0.856,0.5,0.52,0
1.36,1.212,0.27,0.33,0
0.95,0.555,0.53,0.69,0
0.64,0.556,0.73,0.69,0
0.85,0.638,0.59,0.64,0
0.74,0.834,0.66,0.54,1
1.09,0.922,0.44,0.49,0
1.22,0.98,0.36,0.46,0
0.5,0.441,0.81,0.76,0
1.15,0.831,0.41,0.54,1
0.99,0.805,0.51,0.55,0
0.84,0.555,0.6,0.69,0
0.73,0.629,0.67,0.65,1
0.98,0.893,0.51,0.51,1
0.86,0.796,0.59,0.56,0
0.78,0.581,0.64,0.68,0
1.02,0.86,0.49,0.52,1
0.74,0.715,0.66,0.6,0
0.98,0.847,0.51,0.53,1
0.96,0.7,0.53,0.61,0
0.82,0.448,0.61,0.75,0
0.65,0.429,0.72,0.76,0
1.19,0.794,0.38,0.56,1
0.78,0.839,0.64,0.53,0
0.86,0.49,0.59,0.73,0
0.86,0.738,0.59,0.59,0
1.32,0.85,0.3,0.53,0
0.93,0.545,0.54,0.69,0
0.58,0.324,0.76,0.82,0
0.78,0.66,0.64,0.63,1
0.82,0.543,0.61,0.7,0
0.69,0.494,0.69,0.73,0
0.71,0.437,0.68,0.76,0
0.95,0.672,0.53,0.63,1
0.9,0.492,0.56,0.73,0
1.04,0.708,0.48,0.61,0
0.65,0.413,0.72,0.77,0
0.64,0.575,0.73,0.68,0
1.02,0.491,0.49,0.73,0
0.92,0.737,0.55,0.59,0
1.07,0.835,0.46,0.53,0
1.17,0.536,0.39,0.7,0
0.98,0.554,0.51,0.69,1
0.79,0.736,0.63,0.59,0
1,1.259,0.5,0.3,0
1.14,0.788,0.41,0.56,1
0.96,0.821,0.53,0.54,0
1.16,0.693,0.4,0.62,0
0.86,0.757,0.59,0.58,1
1.08,1.06,0.45,0.41,0
1.03,0.635,0.48,0.64,0
0.98,0.802,0.51,0.56,0
0.67,0.502,0.71,0.72,1
0.78,1.073,0.64,0.41,0
0.55,0.561,0.78,0.69,1
0.79,0.907,0.63,0.49,0
0.72,0.676,0.68,0.62,1
0.59,0.899,0.76,0.5,1
0.55,0.52,0.78,0.71,1
0.61,0.641,0.74,0.64,1
0.62,0.606,0.74,0.66,1
0.74,0.298,0.66,0.83,0
0.64,0.557,0.73,0.69,1
0.56,0.477,0.78,0.73,0
0.75,0.392,0.66,0.78,0
0.94,0.677,0.54,0.62,1
0.68,0.55,0.7,0.69,0
0.7,0.602,0.69,0.67,1
0.59,0.49,0.76,0.73,0
0.88,0.578,0.58,0.68,0
0.52,0.352,0.8,0.81,0
0.9,0.637,0.56,0.64,0
0.76,0.499,0.65,0.72,0
