mean_distance_question,mean_distance_answer,QRS,ACRS,correctness
0.87,0.71,0.73,0.74,0
0.97,0.656,0.63,0.78,0
1.18,0.839,0.42,0.63,0
0.71,1.486,0.89,0.09,0
1.1,1.115,0.5,0.4,0
0.87,0.707,0.73,0.74,0
1.04,1.033,0.56,0.48,0
0.79,0.752,0.81,0.71,0
0.89,0.543,0.71,0.88,0
0.87,0.758,0.73,0.7,0
1.11,1.07,0.49,0.44,0
0.83,0.729,0.77,0.73,0
0.75,0.562,0.85,0.87,0
0.9,0.855,0.7,0.62,0
1.25,0.832,0.35,0.64,0
0.92,0.822,0.68,0.65,0
1.11,0.823,0.49,0.65,0
0.77,0.462,0.83,0.95,0
0.87,0.707,0.73,0.74,0
1.1,0.886,0.5,0.59,0
0.81,0.766,0.79,0.69,0
0.89,0.517,0.71,0.9,0
0.79,0.688,0.81,0.76,0
0.89,0.828,0.71,0.64,0
0.87,0.628,0.73,0.81,0
1.47,1.093,0.13,0.43,1
1.04,0.97,0.56,0.53,1
0.86,0.808,0.74,0.66,1
1.21,1.201,0.39,0.33,1
1.03,0.817,0.57,0.65,1
0.91,0.772,0.69,0.69,1
0.97,0.655,0.63,0.78,1
0.99,0.897,0.61,0.58,1
1.14,1.157,0.46,0.37,1
1.16,1.039,0.44,0.47,1
1.41,0.855,0.19,0.62,1
1.19,0.852,0.41,0.63,1
1.01,0.642,0.59,0.8,1
1.17,0.953,0.43,0.54,1
1.28,1.358,0.32,0.2,1
