,Model,Inputs,Train_Accuracy,Test_1_Accuracy,Test_2_Accuracy,Train_F1,Test_1_F1,Test_2_F1,Train_Precision,Test_1_Precision,Test_2_Precision,Train_Sensitivity,Test_1_Sensitivity,Test_2_Sensitivity,Train_AUROC,Test_1_AUROC,Test_2_AUROC
0,1,['mean_distance_question'],0.7391304347826086,0.7727272727272727,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
1,2,['mean_distance_question'],0.8260869565217391,0.7272727272727273,0.75,0.6,0.5,0.7222222222222222,0.75,0.42857142857142855,0.6190476190476191,0.5,0.6,0.8666666666666667,0.7205882352941175,0.6823529411764706,0.7733333333333333
2,3,['mean_distance_question'],0.8260869565217391,0.7727272727272727,0.675,0.6,0.4444444444444444,0.5806451612903226,0.75,0.5,0.5625,0.5,0.4,0.6,0.7205882352941175,0.6411764705882352,0.6599999999999999
3,4,['mean_distance_question'],0.8260869565217391,0.7727272727272727,0.75,0.6,0.5454545454545454,0.7222222222222222,0.75,0.5,0.6190476190476191,0.5,0.6,0.8666666666666667,0.7205882352941175,0.711764705882353,0.7733333333333333
4,5,['mean_distance_question'],0.8695652173913043,0.7272727272727273,0.7,0.6666666666666666,0.5,0.6470588235294118,1.0,0.42857142857142855,0.5789473684210527,0.5,0.6,0.7333333333333333,0.75,0.6823529411764706,0.7066666666666666
5,6,['mean_distance_question'],0.8260869565217391,0.7727272727272727,0.725,0.6,0.5454545454545454,0.6666666666666666,0.75,0.5,0.6111111111111112,0.5,0.6,0.7333333333333333,0.7205882352941175,0.711764705882353,0.7266666666666667
6,7,['mean_distance_question'],0.7391304347826086,0.7727272727272727,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
7,8,['mean_distance_question'],0.8260869565217391,0.7272727272727273,0.75,0.6,0.5,0.7222222222222222,0.75,0.42857142857142855,0.6190476190476191,0.5,0.6,0.8666666666666667,0.7205882352941175,0.6823529411764706,0.7733333333333333
8,9,['mean_distance_question'],0.782608695652174,0.7727272727272727,0.675,0.4444444444444444,0.4444444444444444,0.5517241379310345,0.6666666666666666,0.5,0.5714285714285714,0.3333333333333333,0.4,0.5333333333333333,0.6372549019607843,0.6411764705882352,0.6466666666666667
9,10,['mean_distance_question'],0.8260869565217391,0.7727272727272727,0.7,0.6,0.4444444444444444,0.625,0.75,0.5,0.5882352941176471,0.5,0.4,0.6666666666666666,0.7205882352941175,0.6411764705882352,0.6933333333333334
10,11,['mean_distance_answer'],0.7391304347826086,0.7727272727272727,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
11,12,['mean_distance_answer'],0.7391304347826086,0.5909090909090909,0.5,0.5714285714285714,0.4,0.6,0.5,0.3,0.42857142857142855,0.6666666666666666,0.6,1.0,0.7156862745098038,0.5941176470588235,0.6
12,13,['mean_distance_answer'],0.7391304347826086,0.5909090909090909,0.475,0.5714285714285714,0.4,0.5333333333333333,0.5,0.3,0.4,0.6666666666666666,0.6,0.8,0.7156862745098038,0.5941176470588235,0.54
13,14,['mean_distance_answer'],0.7391304347826086,0.5909090909090909,0.45,0.5714285714285714,0.4,0.5,0.5,0.3,0.3793103448275862,0.6666666666666666,0.6,0.7333333333333333,0.7156862745098038,0.5941176470588235,0.5066666666666666
14,15,['mean_distance_answer'],0.8695652173913043,0.7727272727272727,0.65,0.7272727272727273,0.5454545454545454,0.631578947368421,0.8,0.5,0.5217391304347826,0.6666666666666666,0.6,0.8,0.8039215686274509,0.711764705882353,0.6800000000000002
15,16,['mean_distance_answer'],0.782608695652174,0.7272727272727273,0.675,0.2857142857142857,0.0,0.48,1.0,0.0,0.6,0.16666666666666666,0.0,0.4,0.5833333333333334,0.47058823529411764,0.62
16,17,['mean_distance_answer'],0.8260869565217391,0.8181818181818182,0.725,0.6,0.5,0.5925925925925926,0.75,0.6666666666666666,0.6666666666666666,0.5,0.4,0.5333333333333333,0.7205882352941175,0.6705882352941176,0.6866666666666665
